name_7718#0,"""월리스"""
ssn_014500_0001#0,"""보내준 데이터는<br>소중하게 간직하지."""
ssn_014500_0002#0,"""고마워. 덕분에 좋은 시간을 보냈어.<br>그럼 몸조심해."""
ssn_014500_0101#0,"""음, 자넨가.<br>어서 와."""
ssn_014500_0102#0,"""네 덕분에 레누스 리템을 격퇴했지만……,<br>돌즈의 습격은 앞으로도 있겠지."""
ssn_014500_0103#0,"""그래서 나도 여기서<br>벗어날 수 있을 것 같지가 않네."""
ssn_014500_0104#0,"""그래서 부탁할 게 있어."""
ssn_014500_0201#0,"""루프 마크아드 정상의<br>경치를 보고 싶어."""
ssn_014500_0202#0,"""마크아드에는 아직 돌즈가 있을테니,<br>조심해서 다녀와."""
ssn_014500_0301#0,"""그럼, 트리니테스로 가 줘."""
ssn_014500_0302#0,"""딱히 서두르지 않아도 돼.<br>여유 있을 때 해 줘."""
ssn_014500_0401#0,"""음, 그럼 어쩔 수 없지.<br>또 보자고."""
ssn_014500_0501#0,"""음, 데이터도 잘 받았어.<br>이래저래 부려먹어서 미안해."""
ssn_014500_0502#0,"""언젠가 꼭 사례하지.<br>그럼 몸 조심해."""
