name_7663#0,"""샤르키"""
ssn_011140_0010#0,"""…신입인가.<br>센트럴 시티에 온지 얼마 안 됐나 보군."""
ssn_011140_0020#0,"""…더 실력을 쌓은 뒤에, 다시 오도록."""
ssn_011140_0030#0,"""…기다렸다.<br>나는 사격 클래스 교관, 샤르키다."""
ssn_011140_0040#0,"""…아크스로서<br>착실하게 실력을 쌓고 있는 모양이군."""
ssn_011140_0045#0,"""…전투 기술을 배우고 싶다면 지도해 주지.<br>어떤 클래스의 싸우는 방법에 대해 듣고 싶지?"""
ssn_011140_0050#0,"""…그렇군.<br>생각이 바뀌면 다시 찾아오도록."""
ssn_011140_0060#0,"""…훈련에 힘쓰도록."""
ssn_011140_0070#0,"""…강해지는 방법은 그것 뿐이다."""
ssn_011140_0101#0,"""…어땠나?<br>모습을 보아하니 좋은 경험이 됐나 보군."""
ssn_011140_0102#0,"""…전투의 중점은 역시 클래스 스킬이다.<br>스킬로 전투의 폭이 넓어지지."""
ssn_011140_0103#0,"""…경험을 쌓아라. 점점 익숙해질 거다."""
ssn_011140_0104#0,"""…기대하고 있겠다."""
