name_7008#0,"""롯사"""
ssn_014120_0001#0,"""제법 익숙해진 모양이네."""
ssn_014120_0002#0,"""그런 너한테 부탁하고 싶은 게 있는데<br>들어줄래?"""
ssn_014120_0101#0,"""그럼 간단히 얘기할게."""
ssn_014120_0102#0,"""할파에는<br>컨테이너가 여기저기 놓여 있잖아."""
ssn_014120_0103#0,"""아크스가 작전 중에 버리고 간 거거나<br>누가 두고 간 거거나…"""
ssn_014120_0104#0,"""그 외에도 땅속에서 나왔다던가<br>하늘에서 내려왔다던가…여러 설이 있지만"""
ssn_014120_0105#0,"""그중에 다른 것과는 색이 다른<br>특별한 컨테이너가 있는 건 알고 있어?"""
ssn_014120_0106#0,"""누가 둔 건지 알 수 없는,<br>할파의 7대 불가사의 중 하나야."""
ssn_014120_0107#0,"""그 조사를 너도 도와줬으면 좋겠어.<br>최대한 많은 컨테이너를 찾아 줘."""
ssn_014120_0108#0,"""보이는 대로 찾아서 내용물만 확인하면 돼.<br>어때? 간단하지?"""
ssn_014120_0109#0,"""그럼 부탁할게!"""
ssn_014120_0201#0,"""그렇구나…<br>마음이 내키면 다시 말 걸어 줘."""
ssn_014120_0301#0,"""너 착실하게 힘내는구나.<br>믿음직하네."""
ssn_014120_0302#0,"""크로포드도 감탄한 것 같더라.<br>뭐, 그 기세로 계속 힘내 줘!"""
ssn_014120_0401#0,"""음…<br>역시 이번 임무는 어려울 것 같네."""
ssn_014120_0402#0,"""그래도 뭐, 너라면 할 수 있겠지!<br>나도 제대로 지원해 줄게!"""
ssn_014120_0403#0,"""그럼 잘 부탁해!"""
