name_7211#0,"""섄디"""
ssn_019040_002_0001#0,"""와주셔서 감사합니다.<br>다시 한 번 자기 소개를 하겠습니다."""
ssn_019040_002_0002#0,"""저는 섄디. 할파에서 발생하는<br>다양한 특이현상을 연구하고 있습니다."""
ssn_019040_002_0003#0,"""이번에는 그……정말 별 거 아닌 부탁인데,<br>이 시기에만 시티 내에서 볼 수 있는 신기한 홀로그래픽이 있거든요."""
ssn_019040_002_0004#0,"""미스치프 심볼이라고 하는데,<br>그걸 찾으면 알려주셨으면 해요."""
ssn_019040_002_0005#0,"""지금 발생 중인 미스치프 심볼은 보다 보면<br>왠지 긴장되는 듯한 기분이 들게 돼요. 신기한 감각이에요."""
ssn_019040_002_0006#0,"""변이가 확인된 곳은 센트럴 시티 뿐이고,<br>에너미 등에겐 변화가 없어서, 천천히 찾아주셔도 괜찮을 것 같아요."""
ssn_019040_002_0007#0,"""물론 사례는 드릴 거에요."""
ssn_019040_002_0008#0,"""잘 부탁해요."""
ssn_019040_002_0009#0,"""와주셔서 감사합니다."""
ssn_019040_002_0010#0,"""이번에도, 미스치프 심볼 조사를 부탁드리고 싶어요."""
ssn_019040_002_0011#0,"""미스치프 심볼, 기억하고 계시죠?<br>시티 내에서 볼 수 있는 신기한 홀로그래픽이에요."""
ssn_019040_002_0012#0,"""시기마다 나타나는 홀로그래픽에는<br>아직 해명되지 않은 부분이 많아요."""
ssn_019040_002_0013#0,"""시티 기능의 일부……라고 생각되지만,<br>어느 시스템에서 제어하는지 모르는 상태거든요."""
