name_7662#0,"""단트레이"""
ssn_011131_0001#0,"""그럼 얘기를 하지."""
ssn_011131_0101#0,"""うむ…<br>どうやら、クラスがファイターではないようだな。"""
ssn_011131_0102#0,"""戦い方を学びたければ、“クラスカウンター”で、<br>クラスをファイターに変更してきてくれ。"""
ssn_011131_0103#0,"""それと、ファイターの“クラススキル”も<br>しっかり覚えておくんだぞ！"""
ssn_011131_0104#0,"""… だがまあ、ファイターについて、<br>話だけはしておこう。"""
ssn_011131_0201#0,"""ファイターは至近距離での戦闘に長けたクラスだ。<br>特徴的なのは、なんといっても高い打撃力！"""
ssn_011131_0202#0,"""攻撃のアクションも多彩だ。<br>派手に拳をぶち込んでやれ！"""
ssn_011131_0203#0,"""だが一方で、攻撃範囲は狭く短い。<br>上手く敵の懐に入り込むことが重要になる。"""
ssn_011131_0204#0,"""そのために重要なのがクラススキルだ！<br>まずは、“リミットブレイク”に慣れるといいだろう。"""
ssn_011131_0205#0,"""뭐 배우기보단 익숙해져라!<br>과제를 줄 테니깐 한번 해봐!"""
