ssn_012220_0001#0,"""개더링은 즐기고 있어?"""
ssn_012220_0002#0,"""시티의 밖에서 야채나 과일 그리고 광석.<br>테임즈에게선 고기, 여러 가지 발견할 것이다."""
ssn_012220_0003#0,"""그러한 식재료나 소재는 전투에 도움이 된다네.<br>찾는 즉시 모아두면 좋아!"""
ssn_012220_0101#0,"""여어, 몸은 좀 어때?"""
ssn_012220_0102#0,"""새 무기나 방어구를 얻거나 강화하느라<br>슬슬 필요한 광석이 늘어나고 있지?"""
ssn_012220_0103#0,"""광석에 대해 더 알고 싶지 않나?"""
ssn_012220_0201#0,"""듀아로마이트는 보라색으로 빛나는 각진 광석이고,<br>포톤 청크도 색깔은 비슷하지만, 성질이 다른 광석이야."""
ssn_012220_0202#0,"""모두 아름다운 돌이지만,<br>아이템 랩에서 장비를 단련하는 데에도 쓸 수 있지."""
ssn_012220_0203#0,"""이것들은 주로 남 에아리오의 동굴에서 캘 수 있어.<br>시험 삼아 찾아 보는 게 좋을 거야."""
ssn_012220_0301#0,"""음, 그렇군…<br>그건 안타깝군."""
ssn_012220_0302#0,"""광석에 대해 배우고 싶다면<br>언제든지 물어봐."""
