name_7662#0,"""ダントレイ"""
ssn_011120_0010#0,"""新顔だな！<br>… むぅ、本当に来たばかりのようだな。"""
ssn_011120_0020#0,"""もう少し腕を磨いたら、またここへ来るといいぞ！"""
ssn_011120_0030#0,"""よく来たな！<br>オレは打撃クラスの訓練教官、ダントレイだ！"""
ssn_011120_0040#0,"""うむ、その立ち居振る舞いを見ればわかるぞ。<br>しっかりと腕を磨いているようだな！"""
ssn_011120_0045#0,"""戦闘技術を学びたいのなら、手ほどきをしよう。<br>さあ、どのクラスの戦い方について教えてほしいんだ？"""
ssn_011120_0050#0,"""그렇군…<br>一人前になりたければ、また来るんだぞ！"""
ssn_011120_0060#0,"""훈련을 게을리하지 마!"""
ssn_011120_0070#0,"""しっかりと경험을 쌓아서<br>얼른 어엿한 아크스가 되는거야!"""
ssn_011120_0101#0,"""어때. 조금은 늘었어?"""
ssn_011120_0102#0,"""훈련하면서 느꼈겠지만<br>역시 클래스 스킬이 중요해."""
ssn_011120_0103#0,"""스킬은 배우기만 해선 낭비하는 거야.<br>잘 다룰 수 있게 수행해 줘!"""
