ssc_502060_0010#0,"""으음, 이 반응은……？"""
ssc_502060_0020#0,"""이론상으로는 이 정도인가……."""
ssc_502060_0030#0,"""……응?<br>언제 온 거야."""
ssc_502060_0040#0,"""또 놀라버렸어.<br>기척을 숨기는 데 능숙하네."""
ssc_502060_0050#0,"""뭐 하고 있었어?"""
ssc_502060_0060#0,"""그 장치에 관심이 있어?"""
ssc_502060_0070#0,"""이 포톤 튜너에 대해서<br>알아보고 있었어."""
ssc_502060_0080#0,"""물론,<br>리템 사람들에게 허락은 받고 하는 거야."""
ssc_502060_0090#0,"""포톤 튜너의<br>데이터를 해석하고 있었어."""
ssc_502060_0100#0,"""마을 사람들 에게는<br>미리 말해놨으니까 괜찮아."""
ssc_502060_0110#0,"""하지만 정말 알고 싶은 것은<br>튜너의 성능이 아니라……."""
ssc_502060_0120#0,"""이 장치를 통해 전파되는<br>나데레프의 \""노래의 힘\"" 쪽이야."""
ssc_502060_0130#0,"""그녀의 힘은 자신의 내부와 외부에 있는<br>포톤과 밀접한 관련이 있어."""
ssc_502060_0140#0,"""즉 그 원리는<br>테크닉에 가까운 것이라는 뜻이겠지."""
ssc_502060_0150#0,"""하지만 그토록 광범휘하게 영향을 미치는 테크닉은<br>상당한 양의 포톤을 소비할 거야."""
ssc_502060_0160#0,"""그 어떤 실력자라도,<br>혼자서 발동시키기는 어려워."""
ssc_502060_0170#0,"""그래서 우선은 이 장치부터<br>확인해 봤지만……."""
ssc_502060_0180#0,"""아무래도 헛짚은 것 같네."""
ssc_502060_0190#0,"""지금까지 파악한 바로는<br>튜너의 앰프에는 그만큼의 출력이 없어."""
ssc_502060_0200#0,"""즉 대부분의 힘은,<br>나데레프 본인에게서 발산되고 있다는 거야."""
ssc_502060_0210#0,"""만약 그렇다면 테크닉보다 더<br>근본적인 힘이 작용하고 있을 가능성이 있어."""
ssc_502060_0220#0,"""……어쩌면 혹시 이게,<br>\""마법\""…… 인걸까."""
ssc_502060_0230#0,"""마법?"""
ssc_502060_0240#0,"""나데레프 물어보는 건 어때?"""
ssc_502060_0250#0,"""……아냐, 미안해.<br>너무 추측성으로 한 말이야."""
ssc_502060_0260#0,"""좀 더 조사를 해봐야겠어."""
ssc_502060_0270#0,"""맞아 그렇지만,<br>나데레프도 아마 그 원리를 잘 모를거라 생각해."""
ssc_502060_0280#0,"""지금 알고 있는 사실은<br>\""노래의 힘\""은 나데레프의 가문에만 \""유전\""되고 있단 거야."""
ssc_502060_0290#0,"""게다가 나데레프는 선대들과는 다른 힘을 발산했어."""
ssc_502060_0300#0,"""그러고 보니, 나데레프는<br>노래할 때 \""마음\""을 담는다고 했어."""
ssc_502060_0310#0,"""예를 들어, 동료를 격려한다는 \""마음\""보다, <br>동료를 다치게 하고 싶지 않은 \""마음\""이 더 컸다……던가."""
ssc_502060_0320#0,"""그게 에너미에게 작용해<br>힘을 약화시켰다……."""
ssc_502060_0330#0,"""아니, 가설을 세우더라도<br>더 많은 데이터가 필요해."""
ssc_502060_0340#0,"""어찌됐든,<br>감정이란 건 완전히 수치화할 수 없으니까."""
ssc_502060_0350#0,"""만약 그녀의 힘이<br>과학적으로 밝혀낼 수 없는 것이라면……."""
ssc_502060_0360#0,"""그야말로 신비한 힘이라고 할 수 있겠지."""
