name_7654#0,"""코뮤나"""
ssn_015140_0001#0,"""야호ー.<br>아크스 동료들은 좀 생겼어?"""
ssn_015140_0002#0,"""커뮤니케이션 방법은 여러가지 있으니까,<br>내가 좀 알려줄게."""
npc_menu_0001#0,"""태스크 수주"""
npc_menu_0002#0,"""커뮤니케이션에 관해 묻기"""
npc_menu_0003#0,"""메뉴 닫기"""
ssn_015140_0101#0,"""야호ー. 마침 잘 왔어.<br>너랑 하고 싶은 이야기가 있었거든."""
ssn_015140_0102#0,"""넌 동료들하고 제대로<br>커뮤니케이션하고 있니?"""
ssn_015140_0103#0,"""괜찮으면 내가 요령을 알려줄게."""
ssn_015140_0201#0,"""커뮤니케이션에서 제일 중요한 건<br>인사나 감사같은 기본적인 거라고 생각해. 응."""
ssn_015140_0202#0,"""그러니까 아낌없이 해 보자!<br>……라는 말이야"""
ssn_015140_0203#0,"""자, 부끄러워하지 말고<br>해 보자!"""
ssn_015140_0301#0,"""그렇구나ー. 궁금하면 또 와.<br>기다리고 있을게!"""
ssn_015140_0401#0,"""응응, 잘 풀렸구나!"""
ssn_015140_0402#0,"""그런 식으로 동료들하고 많이<br>커뮤니케이션을 해 봐"""
ssn_015140_0501#0,"""야호ー.<br>아크스 동료들은 좀 생겼어?"""
ssn_015140_0502#0,"""커뮤니케이션 방법은 여러가지 있으니까,<br>내가 좀 알려줄게."""
76540102_1#0,"""\""스탬프\""에 관하여"""
76540102_2#0,"""\""채팅\""에 관하여"""
76540102_3#0,"""\""로비 액션\""에 관하여"""
76540102_4#0,"""\""모션 변경\""에 관하여"""
76540102_5#0,"""\""숏컷 워드\""에 관하여"""
76540102_6#0,"""\""오토 워드\""에 관하여"""
76540102_7#0,"""\""그룹 채팅\""에 관하여"""
76540102_8#0,"""\""심볼 아트\""에 관하여"""
76540102_9#0,"""묻고 싶은 것이 없다"""
