name_7405#0,"""슈라프트"""
ssn_015200_0001#0,"""거기 너, 눈빛이 좋구나.<br>싸우는 아크스의 눈이야."""
ssn_015200_0003#0,"""거기 너, 눈빛이 좋구나.<br>싸우는 아크스의 눈이야."""
ssn_015200_0002#0,"""꼭 가르치고 싶은 게 있는데,<br>조금 더 경험을 쌓아야 할 것 같네."""
ssn_015200_0101#0,"""안녕, 잘 왔어.<br>네가 오기를 기다렸어."""
ssn_015200_0104#0,"""안녕, 잘 왔어.<br>네가 오기를 기다렸어."""
ssn_015200_0102#0,"""너에게 아크스의 전투 방식에 대해 알려주고 싶은데,<br>잠깐 시간 좀 내줄 수 있겠어?"""
ssn_015200_0105#0,"""너에게 아크스의 전투 방식에 대해 알려주고 싶은데,<br>잠깐 시간 좀 내줄 수 있겠어?"""
ssn_015200_0103#0,"""관심이 있다면, 이야기를 들어봐."""
ssn_015200_0201#0,"""네게 건내준 \""배틀 트리거\""는,<br>에아리오 리전의 \""옐로 포탈\""용이야."""
ssn_015200_0202#0,"""에아리오의 옐로우 포탈은 서부 에아리오에 있어.<br>건투를 빌지!"""
ssn_015200_0301#0,"""언제든 기다리고 있어!"""
ssn_015200_0401#0,"""내가 가르친 것을 잊지 말라고!"""
ssn_015200_0402#0,"""앞으로도 정진해줘!"""
