ssc_510030_0010#0,"""…<%me>인가."""
ssc_510030_0020#0,"""여기까지 혼자 온 건가?"""
ssc_510030_0030#0,"""그건 그렌도 마찬가지잖아."""
ssc_510030_0040#0,"""대단한 적은 없었으니까."""
ssc_510030_0050#0,"""나는 괜찮다."""
ssc_510030_0060#0,"""이 주변 사정은 잘 알고 있다."""
ssc_510030_0070#0,"""흥, 제법인데."""
ssc_510030_0080#0,"""하지만…"""
ssc_510030_0090#0,"""여기 있자니 떠오르는군.<br>그날의 전투가."""
ssc_510030_0100#0,"""크로포드도…<br>대체 무슨 생각으로 온 건지."""
ssc_510030_0110#0,"""갑자기 나타나서는<br>멋대로 날뛰고 갔지."""
ssc_510030_0120#0,"""싸움을 끝내기 위해서."""
ssc_510030_0130#0,"""함께 싸우고 싶었어."""
ssc_510030_0140#0,"""그 녀석의 싸움, 인가."""
ssc_510030_0150#0,"""…아니, 우리의 싸움…인가."""
ssc_510030_0160#0,"""누구와?"""
ssc_510030_0170#0,"""…나 말인가."""
ssc_510030_0180#0,"""…"""
ssc_510030_0190#0,"""너와 함께 있으면<br>왠지 페이스가 흐트러지는군."""
ssc_510030_0200#0,"""이상한 녀석이다."""
ssc_510030_0210#0,"""뭐, 됐다.<br>옛날이야기를 좀 해 주지. 잠깐 들어 줘."""
ssc_510030_0220#0,"""…나와 크로포드는<br>원래 함께 싸웠다."""
ssc_510030_0230#0,"""하지만 어떤 계기로<br>갈라서게 되었지."""
ssc_510030_0240#0,"""너는, 카누이에게 들었겠군."""
ssc_510030_0250#0,"""히바나…"""
ssc_510030_0260#0,"""원래는 셋이었지."""
ssc_510030_0270#0,"""아아, 그렇다."""
ssc_510030_0280#0,"""그래…"""
ssc_510030_0290#0,"""히바나의 죽음을 계기로<br>우리는 다른 길을 걷기 시작했지."""
ssc_510030_0300#0,"""크로포드는 센트럴에 남고,<br>나는 이곳에서 싸우기로 했다."""
ssc_510030_0310#0,"""전력을 두 갈래로 나누면<br>버틸 수 없게 된다는 걸 알면서도…"""
ssc_510030_0320#0,"""서로를 막지 못했다."""
ssc_510030_0330#0,"""지키기만 해서는 언제까지고<br>적의 거점을 칠 수 없다."""
ssc_510030_0340#0,"""적의 거점을 쳐도<br>돌아갈 곳을 잃으면 의미가 없다."""
ssc_510030_0350#0,"""그 사이에서, 우리는<br>버텨 나갈 수밖에 없었다."""
ssc_510030_0360#0,"""싸울 수 있는 인원, 무기, 그 밖의 보급 물자."""
ssc_510030_0370#0,"""그것들이 조금씩 줄어드는 현실…"""
ssc_510030_0380#0,"""그때, 바로 그 순간에 너희가 오지 않았더라면<br>어찌 됐을지 모르겠군."""
ssc_510030_0390#0,"""…"""
ssc_510030_0400#0,"""뭐, 크로포드랑은<br>언젠가 천천히 이야기할 기회도 있겠지."""
ssc_510030_0410#0,"""하지만 지금은 아니다."""
ssc_510030_0420#0,"""서로의 싸움이 아직<br>완전히 끝나지 않았으니까."""
ssc_510030_0430#0,"""후우.<br>…이야기가 길어졌군."""
ssc_510030_0440#0,"""이제 슬슬 가 보지."""
