name_7619#0,"""발메"""
ssn_005001_0001#0,"""이곳은 아크스들이 휴식을 취하는 장소.<br>느긋히 있던가, 수다를 즐기거나, 자유롭게 계셔주세요."""
ssn_005001_0002#0,"""편히 쉬시면서 전투의 피로를 풀어주세요."""
ssn_005001_0051#0,"""만약 아직 가본적이 없으시다면,<br>어떤 곳인지 알려드릴까요?"""
ssn_005001_0052#0,"""그럼 이야기를 시작할게요."""
ssn_005001_0101#0,"""'푸드 스탠드'에는 한번 가보셨나요?"""
ssn_005001_0102#0,"""푸드 스탠드는 식재료를 가져가면<br>바로 먹을 수 있는 '퀵 푸드'를 만들어줍니다."""
ssn_005001_0103#0,"""퀵 푸드는 아크스의 힘을<br>일시적으로 끌어올려준답니다."""
ssn_005001_0104#0,"""우선은 시티 밖에 자라나있는 나무 열매나 야채,<br>테임즈의 고기 같은걸 모아주세요."""
ssn_005001_0105#0,"""어느정도 식재료를 모았다면 푸드 스탠드로."""
ssn_005001_0106#0,"""자유롭게 조합을 생각해서<br>자신만의 퀵 푸드를 만드는것도 가능하답니다."""
ssn_005001_0201#0,"""어떠셨나요?<b>힘이 솟아 넘치시나요?"""
ssn_005001_0202#0,"""중요한 전투에 임하기 전에<br>푸드 스탠드를 이용하면 좋을 것 같아요."""
ssn_005001_0203#0,"""하지만 너무 무리는 하지 않으시도록."""
ssn_005001_0204#0,"""전투에 지치셨을 땐,<br>이쪽의 레스트 코너에서 편히 쉬어주세요."""
ssn_005001_0301#0,"""그런가.<br>그럼, 다음 기회에."""
