ssn_013200_0001#0,"""개더링은 즐기고 있어?"""
ssn_013200_0002#0,"""시티 밖에서는 야채나 과일, 광석도 찾을 수 있고,<br>테임즈에게서는 고기도 얻을 수 있지."""
ssn_013200_0003#0,"""그런 식재료나 소재는 전투에 도움이 된다네.<br>보이면 모아 두는 게 좋아!"""
ssn_013200_0101#0,"""기다리고 있었다네."""
ssn_013200_0102#0,"""광석에 대해 더 알고 싶지 않나?"""
ssn_013200_0201#0,"""포톤 쿼츠는 하늘색으로 빛나는 끝이 뾰족한 광석,<br>트라이나이트는 동심원 모양 줄무늬가 아름다운 광석이야."""
ssn_013200_0202#0,"""이 광석들도 마찬가지로 무기 강화에 쓸 수 있지."""
ssn_013200_0203#0,"""…나로선<br>모양이 좋은 건 관상용으로 두고 싶지만…"""
ssn_013200_0204#0,"""참고로 포톤 쿼츠는<br>특히 멀티 웨폰을 만들 때 많이 필요해."""
ssn_013200_0205#0,"""이 광석들은 북 에아리오에서 캘 수 있지.<br>그럼, 이번에도 찾아가 보게!"""
ssn_013200_0301#0,"""음, 그렇군…<br>그건 안타깝군."""
ssn_013200_0302#0,"""광석에 대해 배우고 싶다면<br>언제든지 물어봐."""
