ssc_511030_0010#0,"""……응?<br>아, 당신이군요."""
ssc_511030_0020#0,"""이런 곳에서 뭘 하고 계신가요?"""
ssc_511030_0030#0,"""잠시 상태를 확인하러."""
ssc_511030_0040#0,"""카누이는 어쩐 일이야."""
ssc_511030_0050#0,"""여러분께서 유격전에 참가해 주셔서<br>큰 도움이 되었습니다."""
ssc_511030_0060#0,"""저희의 전력만으로는 스티아 전역을<br>다 커버할 수 없었거든요."""
ssc_511030_0070#0,"""저는 순찰 임무 중입니다."""
ssc_511030_0080#0,"""아직 스티아 곳곳에<br>많은 적들이 남아 있거든요."""
ssc_511030_0090#0,"""특히 이 일대에는 강력한 적들이<br>여전히 순찰을 돌고 있습니다."""
ssc_511030_0100#0,"""경험이 부족한 아크스에게는<br>부담스러운 곳이지요."""
ssc_511030_0110#0,"""……하지만 이 지하에<br>저렇게 거대한 구조물이 있을 줄은……"""
ssc_511030_0120#0,"""나도 놀랐어."""
ssc_511030_0130#0,"""뭐가 있는지 알고 있었어?"""
ssc_511030_0140#0,"""크로포드 군에게<br>사전 설명을 듣지 못한 모양이군요."""
ssc_511030_0150#0,"""그렇군요 …… 아마 당시는 크로포드 군도<br>정확한 정보를 얻지 못했을 것 같네요."""
ssc_511030_0160#0,"""아뇨, 크로포드 군으로부터<br>정보가 전달되기 전까지는 전혀 알지 못했습니다."""
ssc_511030_0170#0,"""저희의 작전도 여러분과 마찬가지로<br>이곳을 최종 목표로 삼고 있었습니다."""
ssc_511030_0180#0,"""하지만 그것은 어디까지나<br>돌즈의 제압을 의도한 것입니다."""
ssc_511030_0190#0,"""강력한 적의 존재는 예상했지만,<br>그 상대가 설마 저 다크 펄스일 줄은 몰랐습니다."""
ssc_511030_0200#0,"""여러분들의 지원이 없는 상태에서<br>저희끼리만 돌격했다면 어떻게 되었을지……."""
ssc_511030_0210#0,"""아, 그러고 보니.<br>이 이야기를 드리지 못했네요."""
ssc_511030_0220#0,"""조사팀이 중앙부의 통제실에서<br>다크 펄스의 데이터를 발견했습니다."""
ssc_511030_0230#0,"""보고에 따르면, 다크 펄스는<br>할파 전역의 전투 기록을 수집하고 있었던 것 같습니다."""
ssc_511030_0240#0,"""그건 다크 펄스의 의지로?"""
ssc_511030_0250#0,"""누군가가 다크 펄스에게 지시를 내린걸까?"""
ssc_511030_0260#0,"""그건…… 모르겠습니다."""
ssc_511030_0270#0,"""그렇다면 누가?<br>……라는 의문이 생기네요."""
ssc_511030_0280#0,"""자세한 내용은 알 수 없지만……."""
ssc_511030_0290#0,"""다크 펄스가 아크스의 전투 방식을<br>배우고 있었던 것은 틀림없는 것 같습니다."""
ssc_511030_0300#0,"""방치해 두었다면 더 강력한 상대가<br>되었을지도 모르겠습니다."""
ssc_511030_0310#0,"""대처할 수 없게 되기 전에<br>손을 써서 다행이라고 해야 할까요"""
ssc_511030_0320#0,"""이 이야기는<br>크로포드 군에게도 전달했습니다."""
ssc_511030_0330#0,"""크로포드 군이라면<br>뭔가 해답을 찾아낼지도 모릅니다."""
ssc_511030_0340#0,"""시간이 걸리겠지만 저희도<br>이곳에 대한 조사를 진행할 생각입니다."""
ssc_511030_0350#0,"""……저기 죄송합니다. 이야기가 길어졌네요."""
ssc_511030_0360#0,"""저는 임무로 돌아가겠습니다."""
ssc_511030_0370#0,"""그럼 또 뵙겠습니다."""
