name_7405#0,"""슈라프트"""
ssn_015201_0001#0,"""그럼 설명을 해보도록 하지."""
ssn_015201_0002#0,"""너는 \""배틀디아\""에 대해 알고있어?"""
ssn_015201_0003#0,"""이건 적을 물리치는 데 특화된<br>훈련 시설이야."""
ssn_015201_0004#0,"""각 지역에 있는\""포탈\""에 액세스하면<br>액세스 할 수 있어."""
ssn_015201_0010#0,"""각 지역에 있는\""포탈\""에 액세스하면<br>도전할 수 있어."""
ssn_015201_0005#0,"""단, 포탈을 실행하기 위해서는<br>배틀 트리거라는 키가 필요해."""
ssn_015201_0011#0,"""단, 포탈을 실행하기 위해서는<br>\""배틀 트리거\""라는 열쇠가 필요해."""
ssn_015201_0006#0,"""우선은 에아리오 리전에 있는<br>\""배틀디아: 옐로\""에 도전해 보는 것이 좋을 거야."""
ssn_015201_0007#0,"""이번엔 특별히<br>내가 배틀 트리거를 건네줄게."""
ssn_015201_0008#0,"""에아리오의 옐로 포탈은, 서부 에아리오에 있어.<br>행운을 빈다!"""
ssn_015201_0012#0,"""에아리오의 \""옐로 포탈\""은, 서부 에아리오에 있어.<br>행운을 빈다!"""
ssn_015201_0009#0,"""Bトリガー/コモンイエロー를 5개 획득했습니다."""
