ssn_014210_0001#0,"""개더링은 즐기고 있어?"""
ssn_014210_0002#0,"""시티의 밖에서 야채나 과일 그리고 광석.<br>테임즈에게선 고기, 여러 가지 발견할 것이다."""
ssn_014210_0003#0,"""그러한 식재료나 소재는 전투에 도움이 된다네.<br>찾는 즉시 모아두면 좋아!"""
ssn_014210_0004#0,"""그럼 힘내게!"""
ssn_014210_0005#0,"""ちなみに、ワールドマップを見れば、<br>鉱石などの入手場所が確認できる。覚えておいてくれ。"""
ssn_014210_0101#0,"""이제껏 중앙 에아리오, 북부 에아리오, 남부 에아리오의<br>광석을 찾아다녔지."""
ssn_014210_0102#0,"""마지막으로 서부 에아리오에서 캘 수 있는 광석을 알려주지."""
ssn_014210_0201#0,"""서부 에아리오에선<br>듀아로마이트와 트라이나이트를 캘 수 있네."""
ssn_014210_0202#0,"""이 두 광석이 어떤 건지는<br>예전에 설명했으니 알고 있지?"""
ssn_014210_0203#0,"""그럼, 늘 그랬듯이<br>찾아 와 봐!"""
ssn_014210_0301#0,"""음, 그렇군…<br>그건 안타깝군."""
ssn_014210_0302#0,"""광석에 대해 배우고 싶다면<br>언제든지 물어봐."""
