ssc_501070_0010#0,"""(작은 소리로) 콧노래～♪"""
ssc_501070_0020#0,"""앗, <%me>!?"""
ssc_501070_0030#0,"""혹시 방금 그거 들었어?"""
ssc_501070_0040#0,"""뭔가 중얼거렸어?"""
ssc_501070_0050#0,"""목소리가 들렸던 것 같은데?"""
ssc_501070_0060#0,"""아니, 노래 연습 중이야."""
ssc_501070_0070#0,"""사람들 앞에서는 부끄러워서<br>여기서 몰래 연습하고 있었어."""
ssc_501070_0080#0,"""노래 연습을 하고 있었어."""
ssc_501070_0090#0,"""아무도 없는 데서<br>몰래 연습하고 있었는데 들켜 버렸네."""
ssc_501070_0100#0,"""하아~.<br>나데레프의 노래, 멋있었지?"""
ssc_501070_0110#0,"""저렇게나 강한데<br>노래까지 잘하는 건 정말 대단해."""
ssc_501070_0120#0,"""하디 일행의 연주도<br>엄청났고."""
ssc_501070_0130#0,"""그래서 너도 노래를?"""
ssc_501070_0140#0,"""노래를 잘 부를 수 있게 됐어?"""
ssc_501070_0150#0,"""응. 다 같이 노래할 수 있으면<br>즐거울 것 같아서."""
ssc_501070_0160#0,"""으음…<br>아직 연습 중이지만."""
ssc_501070_0170#0,"""다 같이 노래하면<br>정말 즐거울 것 같아."""
ssc_501070_0180#0,"""요즘엔 나데레프랑 둘이서<br>이야기할 기회가 많아져서…"""
ssc_501070_0190#0,"""노래 얘기도 자주 해."""
ssc_501070_0200#0,"""나데레프는 노래도 무술만큼이나<br>엄청 진지하게 임하는 것 같았어."""
ssc_501070_0210#0,"""어떻게 노래해야 상대에게 그 마음이<br>전해질지 같은 걸 이것저것 연구하는 것 같았어."""
ssc_501070_0220#0,"""노래의 힘이 나타나지 않아서 사람들 앞에선 노래하지 않게 됐지만,<br>그동안에도 혼자 계속 연습해 왔대."""
ssc_501070_0230#0,"""정말 노력하는 사람이야."""
ssc_501070_0240#0,"""그런 사람이니까 다들<br>응원하고 싶어지는 것 같아."""
ssc_501070_0250#0,"""마논은 나데레프의 노래가<br>우리한텐 영향을 주지 않는다고 했지만"""
ssc_501070_0260#0,"""난 그 목소리를 듣고 있으면<br>기운이 나는 것 같아."""
ssc_501070_0270#0,"""그러고 보니 에아리오 타운 사람들도<br>무슨 일만 있으면 노래를 했었지…"""
ssc_501070_0280#0,"""기분 좋게 노래하고, 떠들썩해지고.<br>그 후에는 푹 자고 다음 날의 전투를 준비했어."""
ssc_501070_0290#0,"""노래라는 건 원래<br>그런 힘이 있었는지도 모르겠네."""
ssc_501070_0300#0,"""으음. …나도 무언가의 힘으로<br>누군가에게 힘이 되어 줄 수 있는 사람이 되고 싶어."""
ssc_501070_0310#0,"""앗, 맞다.<br>나데레프랑 이야기 하다 보니까."""
ssc_501070_0320#0,"""방에 들어가게 해줬는데<br>뭐랄까, 엄청 귀여웠어."""
ssc_501070_0330#0,"""침대에 분홍색 랍피 인형 같은 게<br>장식되어 있었어."""
ssc_501070_0340#0,"""저런 건 어디서 구한 걸까."""
ssc_501070_0350#0,"""시녀 중 한 명이 만들어 준 걸까?"""
ssc_501070_0360#0,"""아니면 직접…?"""
ssc_501070_0370#0,"""…아! 나데레프가 방 얘기는<br>아무한테도 하지 말라고 했었지."""
ssc_501070_0380#0,"""미안! 잊어줘!"""
