name_7200#0,"""카르테뷔에"""
ssn_012050_0001#0,""""어디에서나 보이는 센트럴 타워.<br>이 센트럴 시티를 상징하는 건물이지."""
ssn_012050_0002#0,"""그리고, 넓은 범위에 전파를 송수신할 수 있는 전파탑이기도 해.<br>덕분에 우리들은 어디에 있어도 통신할 수 있는 거지."""
ssn_012050_0101#0,"""브루더에게 이야기는 들었어."""
ssn_012050_0102#0,"""장비는 제대로 단련시키고 있나?"""
ssn_012050_0103#0,"""이번엔 장비 강화의 한계를 넘은...<br>\""한계돌파\""에 대해 알려줄게."""
ssn_012050_0104#0,"""뭘, 그렇게까지 어려운 이야기는 아니야."""
ssn_012050_0105#0,"""무기나 방어구는 아이템 랩에서 강화할 수 있어.<br>하지만, 그 강화에도 한계가 있어."""
ssn_012050_0106#0,"""그 한계를 돌파하기 위해<br>어떻게 해야하나…에 대한 이야기야."""
ssn_012050_0107#0,"""이건 직접 해 보는 게 낫겠구나.<br>자, 이걸 줄테니 랩에 가 봐."""
ssn_012050_0201#0,"""그렇구나. 나중에 내키면 언제든지 찾아 와."""
