name_7657#0,"""스태기"""
ssn_005080_0001#0,"""센트럴에 잘 왔다! 환영한다고!"""
ssn_005080_0002#0,"""계속 싸우고, 이기고, 벌어서,<br>지금보다 더 좋은 장비를 맞춰 가자고!"""
ssn_005080_0101#0,"""야, 알고 있어?<br>무기란 건…… \""합체\""할 수 있다고!"""
ssn_005080_0051#0,"""\""멀티 웨폰\""이라고 하는 건데!<br>시험 삼아 만들어 보지 않을래?"""
ssn_005080_0052#0,"""그럼 내가 조언해 주지."""
ssn_005080_0102#0,"""멀티 웨폰은 아이템 랩에서 만들 수 있어."""
ssn_005080_0103#0,"""같은 종류의 무기라면,<br>아이템 랩에서 뭐든 조합해 줄 거야."""
ssn_005080_0104#0,"""아, 합체시킬 거라면,<br>촉매인 \""광석\""도 잊지 말라고!"""
ssn_005080_0105#0,"""우선 필요한 건 광석이야. 모았으면 랩으로!"""
ssn_005080_0201#0,"""어때, 만들어 본 소감은?"""
ssn_005080_0202#0,"""원리가 뭔지는 모르겠지만,<br>합체라는 건 로망이지!"""
ssn_005080_0203#0,"""여러 가지 시험해서,<br>멋진 무기를 만들어 보라고!"""
ssn_005080_0301#0,"""쌀쌀맞네…….<br>뭐, 마음이 내키면 또 와!"""
