name_7400#0,"""듀아드라"""
ssn_014270_0010#0,"""못 보던 얼굴인걸.<br>호오……, 정말 센트럴 시티에 온지 얼마 안 된 건가."""
ssn_014270_0020#0,"""실력을 더 갖추면, 다시 말을 걸어 줘."""
ssn_014270_0030#0,"""잘 왔어."""
ssn_014270_0040#0,"""나는<br>아크스 복합기능 교도관 듀아드라다."""
ssn_014270_0050#0,"""소문은 들었어.<br>아크스로서 꽤 실력을 키웠다던데."""
ssn_014270_0055#0,"""복합기능에 대해 배우고 싶다면, 가르쳐 줄까?"""
ssn_014270_0060#0,"""그래…….<br>마음이 내키면, 다시 말을 걸어 줘."""
ssn_014270_0070#0,"""게으름 피우지 말고, 훈련에 열중하도록 해."""
ssn_014270_0080#0,"""내가 가르쳐준 대로 하면<br>반드시 잘 해낼 수 있을 거야."""
ssn_014270_0101#0,"""훈련을 통해 클래스 스킬이 중요하다는 사실도<br>몸으로 알았겠지."""
ssn_014270_0102#0,"""앞으로도 경험을 쌓아서 숙달하도록 해.<br>전투기술을 추구해서, 언젠가 브레이버의 길을 통달하도록."""
ssn_014270_0103#0,"""앞으로도 경험을 쌓아서 숙달하도록 해.<br>전투기술을 추구해서, 수많은 복합기능을 통달하도록."""
