name_7705#0,"""린체"""
ssn_014420_0001#0,"""당신 덕분에 환자들도 기뻐하고 있어.<br>정말 큰 도움이 됐어. 고마워."""
ssn_014420_0002#0,"""또 무슨 일이 생기면, 부탁할게."""
ssn_014420_0101#0,"""요전 일은 고마워.<br>큰 도움이 됐어."""
ssn_014420_0102#0,"""그래서, 실은 또 부탁할 게 있는데……."""
ssn_014420_0103#0,"""이번엔 다른 식재를 조달해 줬으면 해.<br>받아 줄 수 있을까?"""
ssn_014420_0201#0,"""당신도 일이 많나 보네.<br>언제든 또 와줘."""
ssn_014420_0301#0,"""이번에는 야채를 모아 와 줬으면 해.<br>최대한 신선한 걸로."""
ssn_014420_0302#0,"""환자들이 영양을 더 섭취해서,<br>얼른 건강해졌으면 해서."""
ssn_014420_0303#0,"""그렇지……, 야채는 남부 리템에 가면 구할 수 있을 거야.<br>그래도, 너무 무리하지는 말고."""
ssn_014420_0401#0,"""어머, 많이 캐왔구나.<br>이렇게 신선한 건 정말 오랜만에 보는 것 같아."""
ssn_014420_0402#0,"""그럼 요전처럼<br>마린에게 전해줄 수 있을까?\u3000부탁할게."""
ssn_014420_0501#0,"""이거면 환자들도 금방 기운을 차릴 수 있을 거야.<br>정말, 뭐라고 감사를 해야 할지……."""
ssn_014420_0502#0,"""앞으로도 잘 지내.<br>모쪼록 몸 조심하고."""
