name_7425#0,"""로날딘"""
ssn_014590_0001#0,"""별을 건너는 자군…….<br>보아하니, 실력은 나름 있는 모양인데."""
ssn_014590_0002#0,"""내가 고안한 훈련 메뉴를 제안하고 싶지만……, <br>아직 이른 것 같군."""
ssn_014590_0003#0,"""더 힘을 기른 뒤에 다시 와.<br>뭐, 네가 그러고 싶다면 얘기지만……."""
ssn_014590_0101#0,"""나는 아크스 상금 훈련교관 로날딘…….<br>리아메이와 마찬가지로, 아크스 훈련을 지원하고 있다……."""
ssn_014590_0102#0,"""널 위해 훈련 메뉴를 준비했는데,<br>어때. 받아 보겠나……?"""
ssn_014590_0103#0,"""……하지만, 충고 하나 하자면, 내 훈련은 만만치 않다.<br>도중에 그만두는 사람들도 많지……."""
ssn_014590_0104#0,"""어중간한 마음가짐으로는, 어려울 거야……."""
ssn_014590_0201#0,"""내 훈련은 만만치 않다.<br>도중에 그만두는 사람들도 많지……."""
ssn_014590_0202#0,"""어중간한 마음가짐으로는, 어려울 거야……."""
ssn_014590_0301#0,"""훌륭하군. 이렇게까지 해내다니…….<br>솔직히, 굉장히 놀랐다."""
ssn_014590_0302#0,"""그 재능……, <br>어쩌면 가로아와 맞먹을지도 모르겠어."""
ssn_014590_0303#0,"""후후……, 좋은 구경을 했군.<br>앞으로도 그 실력을 갈고 닦았으면 좋겠어……."""
ssn_014590_0304#0,"""나도 더 충실한 훈련 메뉴를 짜 보기로 하지.<br>기대하고 있어."""
