name_7662#0,"""단트레이"""
ssn_005110_0001#0,"""신입이구나!<br>그렇군, 아크스로서의 마음가짐을 배우고 있는 건가."""
ssn_005110_0002#0,"""좀 더 실력을 갈고닦고 나면, 다시 여기로 오도록!"""
ssn_005110_0101#0,"""잘 왔다!<br>나는 타격 클래스의 훈련 교관 단트레이다!"""
ssn_005110_0102#0,"""구이덴에게 이야기는 들었다.<br>헌터에 대해 배워 보겠나?"""
ssn_005110_0151#0,"""그렇게 생각했지만, 클래스가 헌터는 아닌 것 같군."""
ssn_005110_0152#0,"""훈련하고 싶다면 \""클래스 카운터\""에서<br>클래스를 헌터로 바꾸고 와 줘."""
ssn_005110_0153#0,"""그리고 헌터의 클래스 스킬<br>\""매시브 헌터\""를 습득하는 것도 잊지 말도록!"""
ssn_005110_0103#0,"""헌터는 근거리 전투가 장점인 클래스다!"""
ssn_005110_0104#0,"""적의 공격을 가드하고, 스텝으로 회피한 뒤…… 강력한 카운터를 때려박는다!<br>그게 기본적인 전투법이다."""
ssn_005110_0105#0,"""클래스 스킬을 활용하면 에너미와의 근접전에서도 기죽지 않고,<br>카운터 공격을 노릴 수 있게 될 테지."""
ssn_005110_0106#0,"""처음에는…… 그렇군, \""매시브 헌터\""를 추천한다!"""
ssn_005110_0107#0,"""잘 다뤄서 에너미를 쓰러뜨리는 거다!"""
ssn_005110_0108#0,"""뭐, 배우는 것보다 익숙해지는 게 먼저다!<br>과제를 줄 테니, 한번 해 봐라!"""
ssn_005110_0301#0,"""그런가…….<br>헌터로서 제 몫을 하려면 다시 오도록 해!"""
ssn_005110_0201#0,"""어때, 조금은 늘었나?"""
ssn_005110_0202#0,"""훈련하면서 느꼈겠지만,<br>역시 클래스 스킬이 중요해."""
ssn_005110_0203#0,"""스킬은 익히기만 해선 소용없다.<br>제대로 다룰 수 있게 연습해라!"""
