name_7661#0,"""바시니아"""
ssq_013021_0010#0,"""수고했어.<br>무사히 타워를 돌파했나 보네. 대단한걸."""
ssq_013021_0020#0,"""타워는 코쿤보다 더 높은 훈련 효과를 얻을 수 있으니까<br>다른 곳에서 또 찾으면 도전해 봐."""
ssq_013021_0030#0,"""그때는 또<br>전투력을 제대로 올리고 나서 도전하도록 해."""
ssq_013021_0035#0,"""아, 그래.<br>전투력 하니까 생각났는데…"""
ssq_013021_0040#0,"""전투력이 부족하면<br>참가할 수 없는 긴급 작전도 있으니까."""
ssq_013021_0050#0,"""만일을 대비해서 전투력을 올려 두면 좋을 거야.<br>그럼 앞으로도 힘내."""
ssq_013021_0201#0,"""…라고 생각했는데, 이미 타워를 돌파했잖아?"""
ssq_013021_0202#0,"""그런 건 빨리 말해 줘. 창피하잖아."""
ssq_013021_0203#0,"""경험도 쌓고<br>전투력도 제대로 올리고 있는 모양이네."""
ssq_013021_0213#0,"""아, 그래.<br>전투력 하니까 생각났는데…"""
ssq_013021_0204#0,"""전투력이 부족하면<br>참가할 수 없는 긴급 작전도 있으니까."""
ssq_013021_0205#0,"""만일을 대비해서 전투력을 올려 두면 좋을 거야.<br>그럼 앞으로도 힘내."""
