name_7400#0,"""듀아드라"""
ssn_014275_0001#0,"""그래. 설명하지."""
ssn_014275_0101#0,"""……응?<br>클래스가 바운서가 아닌가 보네."""
ssn_014275_0102#0,"""전투법을 배우고 싶다면, \""클래스 카운터\""에서<br>클래스를 바운서로 변경하고 와 줘."""
ssn_014275_0103#0,"""그리고, 바운서의\""클래스 스킬\""도<br>제대로 배워 두도록."""
ssn_014275_0104#0,"""그래도 일단, 그 전에 바운서가 뭔지<br>얘기는 해둘까."""
ssn_014275_0201#0,"""바운서는 근거리에서 중거리까지의 전투에 능해."""
ssn_014275_0202#0,"""그 중에서도 공중전이 특기이고,<br>무기와 테크닉을 때에 따라 나눠서 싸우지."""
ssn_014275_0203#0,"""물리 다운이나 속성 다운을 유발해서,<br>전투를 유리하게 이끌 수도 있어."""
ssn_014275_0204#0,"""그리고, 다른 클래스처럼 클래스 스킬도 중요해.<br>우선은 \""엘리멘탈 디클라인\""을 마스터하는 게 좋겠지."""
ssn_014275_0205#0,"""일단, 과제를 낼테니 한 번 해 봐."""
