name_7746#0,"""아티"""
ssn_015185_0001#0,"""이 크바리스에 존재하는<br>\""트레이니아 어드밴스\""라는 훈련 시설을 알고 있나?"""
ssn_015185_0002#0,"""뭐랄까, 상급자를 위한 트레이니아 같은 느낌이라고 하더라."""
ssn_015185_0003#0,"""리템에 있는 트리니테스와 같은 곳과<br>비슷한 시설인 모양이야."""
ssn_015185_0101#0,"""와 주었구나.<br>고마워."""
ssn_015185_0102#0,"""너는 이 크바리스에 존재하는<br>\""트레이니아 어드밴스\""라는 훈련 시설을 알고 있나?"""
ssn_015185_0103#0,"""가상 공간을 활용한 훈련시설이지만,<br>일반적인 트레이니아와는 조금 달라."""
ssn_015185_0104#0,"""예전 크바리스 거주자들이 이용했던 걸로 보이는데…<br>지금도 문제없이 작동하고 있어."""
ssn_015185_0105#0,"""궁금하면<br>어떤 것인지 알려줄까?"""
ssn_015185_0201#0,"""캐논볼 럼블은,<br>동료와의 협력이 중요해."""
ssn_015185_0202#0,"""꼭 도전해봤으면 해."""
ssn_015185_0301#0,"""그래, 또 와줘."""
ssn_015185_0401#0,"""트레이니아 어드밴스를 활용하고 있어?"""
ssn_015185_0402#0,"""너는 제법 소질이 있어.<br>그 기세로 한층 더 실력을 키워줘."""
