name_7006#0,"""란"""
ssn_012070_0001#0,"""수고하셨습니다!\u3000브루더 씨한테서<br>여기 할파의 전투법을 배우고 싶어하신다고 들었는데요."""
ssn_012070_0002#0,"""사실, 그 전투법과 관련해서<br>부탁 드리고 싶은 게 있어서요…."""
ssn_012070_0003#0,"""저는 요즘 오퍼레이터로서 아크스 여러분을 서포트하기 위해,<br>에너미에 관해서 독자적으로 연구하고 있어요."""
ssn_012070_0004#0,"""당신이 에너미와 싸우는 모습을<br>모니터링해도 괜찮을까요?"""
ssn_012070_0005#0,"""정말 감사합니다!<br>받아주시는군요."""
ssn_012070_0006#0,"""저, 여기 지령실에서 일하는 오퍼레이터 중에선 제일 막내라서,<br>얼른 선배들을 따라잡고 싶거든요."""
ssn_012070_0007#0,"""그걸 위해서는 에너미를 좀 더<br>많이 알아두는 게 좋을 것 같아서…."""
ssn_012070_0008#0,"""그 중에도 대기중의 PSE가 변화해서 발생하는<br>\"PSE 버스트\""라는 현상을 관측하고 싶어서요."""
ssn_012070_0009#0,"""\""PSE 버스트\""가 발생하면<br>주변에서 에너미가 쏟아지기 시작할 거에요."""
ssn_012070_0010#0,"""요즘 활동이 활발한 마그너스 산의 에너미를 쓰러트리고,<br>이 PSE의 변동을 모니터링해도 될까요?"""
ssn_012070_0101#0,"""그렇군요…<br>괜찮으시면 언제든지 말을 걸어주세요."""
ssn_012070_0201#0,"""오퍼레이션의 방식으로 이렇게 해줬으면 좋겠다던가,<br>원하시는 게 있다면 뭐든 말씀해 주세요."""
ssn_012070_0202#0,"""여러분이 더 편리하게<br>대응하실 수 있으면 좋을 것 같아서요."""
ssn_012070_0301#0,"""이번 임무는 아주 위험한 임무가 될 거에요.<br>저도 최선을 다해 서포트해 드릴게요!"""
ssn_012070_0302#0,"""행운을 빌게요!"""
