name_7440#0,"""하츠카리"""
ssn_015750_0001#0,"""스티아의 싸움은 아직 쉽지 않네."""
ssn_015750_0002#0,"""하지만 네 덕분에 생각보다 더 수월해졌어."""
ssn_015750_0003#0,"""즉, 플러스 마이너스 제로인 셈이지. 하하하!"""
ssn_015750_0004#0,"""앞으로도 네 활약을 기대할게!"""
ssn_015750_0101#0,"""오, 너구나! 잠깐 들어봐."""
ssn_015750_0102#0,"""사실 최근 메디오라 하층부에 대한 조사가 진행되면서<br>새로운 영역에 들어갈 수 있게 됐어."""
ssn_015750_0103#0,"""\""노이젠 플랜트\""라는 곳이라고 하더라."""
ssn_015750_0104#0,"""그래서 바로 그곳을 탐사하고,<br>에너미를 소탕하는 작업을 시작하게 됐어."""
ssn_015750_0105#0,"""어때?<br>너도 좀 도와주지 않을래?"""
ssn_015750_0201#0,"""뭐야, 바쁘구나<br>뭐, 여기저기서 부탁을 받을 테니까."""
ssn_015750_0301#0,"""\""노이젠 플랜트\""는<br>아직은 잘 알려지지 않은 곳이야."""
ssn_015750_0302#0,"""무슨 일이 벌어질지 모르니까<br>준비는 철저히 하라구."""
ssn_015750_0303#0,"""진입 루트는 메디올라 중심부와 동일해.<br>그럼 잘 부탁해!"""
ssn_015750_0401#0,"""스티아의 싸움은 아직 쉽지 않네."""
ssn_015750_0402#0,"""하지만 네 덕분에 생각보다 더 수월해졌어."""
ssn_015750_0403#0,"""즉, 플러스 마이너스 제로인 셈이지. 하하하!"""
ssn_015750_0404#0,"""앞으로도 네 활약을 기대할게!"""
