name_7423#0,"""버핀"""
ssn_014520_0001#0,"""응? 못 보던 얼굴인걸.<br>헤에, 에아리오에서 온 아크스구나."""
ssn_014520_0002#0,"""꽤 강해 보이는데.<br>나중에 실력 한 번 보여줘."""
ssn_014520_0101#0,"""너, 수행은 제대로 하고 있어?"""
ssn_014520_0102#0,"""레누스 리템을 쓰러트렸다고<br>만족하면 안 된다?"""
ssn_014520_0103#0,"""정말 한계까지 힘을 키워야지!"""
ssn_014520_0201#0,"""어느 클래스여도 상관 없으니,<br>일단 한계까지 스스로를 끌어올려 봐!"""
ssn_014520_0202#0,"""수련이 끝나면 날 찾아와.<br>내 눈으로 확실하게 확인해 줄게!"""
ssn_014520_0301#0,"""어, 이건 예상 밖인데……?<br>생각이 바뀌면 언제든지 와."""
ssn_014520_0401#0,"""오, 왔구나!<br>어디 보자……."""
ssn_014520_0402#0,"""응, 느낌 좋은데!<br>보면 알 수 있어. 실력을 많이 길렀는걸."""
ssn_014520_0403#0,"""하지만 자기 실력에 만족하면 성장하지 못해.<br>너라면 언젠가 그 한계도 뛰어넘을 거야!"""
ssn_014520_0404#0,"""앞으로도 정진하도록 해.<br>힘 내!"""
ssn_014520_0501#0,"""응, 느낌 좋은데!<br>보면 알 수 있어. 실력을 많이 길렀는걸."""
ssn_014520_0502#0,"""하지만 자기 실력에 만족하면 성장하지 못해.<br>너라면 언젠가 그 한계도 뛰어넘을 거야!"""
ssn_014520_0503#0,"""앞으로도 정진하도록 해.<br>힘 내!"""
