ssc_502100_0010#0,"""…누구야?"""
ssc_502100_0020#0,"""아아, 너였구나…"""
ssc_502100_0030#0,"""기운이 없어 보이는데…?"""
ssc_502100_0040#0,"""어디 아픈 거야?"""
ssc_502100_0050#0,"""아, 아니…"""
ssc_502100_0060#0,"""아니, 괜찮아…"""
ssc_502100_0070#0,"""……"""
ssc_502100_0080#0,"""여기에 오면<br>자꾸 생각나서."""
ssc_502100_0090#0,"""닐스 스티아와의 싸움…"""
ssc_502100_0100#0,"""…그리고 그때<br>나를 감싸 줬던 그 대원이…"""
ssc_502100_0110#0,"""…나 같은 사람을 위해서…"""
ssc_502100_0120#0,"""어째서…"""
ssc_502100_0130#0,"""자신을 탓하진 마."""
ssc_502100_0140#0,"""그게 그 사람의 사명이었으니까."""
ssc_502100_0150#0,"""하지만…!"""
ssc_502100_0160#0,"""사명? …우릴 지키는 게?"""
ssc_502100_0170#0,"""그 사람에게도 평범한 삶이 있었어."""
ssc_502100_0180#0,"""분명 꿈도 있었을 거야.<br>하고 싶은 것도… 잔뜩 있었을… 거야."""
ssc_502100_0190#0,"""그걸 내가…<br>영원히 빼앗아 버렸어…"""
ssc_502100_0200#0,"""그 생각에는 동의할 수 없습니다."""
ssc_502100_0210#0,"""카누이…!?"""
ssc_502100_0220#0,"""실례했습니다.<br>목소리가 들려서요."""
ssc_502100_0230#0,"""저희 얘기를<br>조금 해 드려도 될까요?"""
ssc_502100_0240#0,"""저희에게는,<br>\""절대 동료를 버리지 않는다\""는 규칙이 있습니다."""
ssc_502100_0250#0,"""전투에서<br>가장 무서운 것은 적이 아닙니다."""
ssc_502100_0260#0,"""동료를 믿지 못하게 되는 것입니다."""
ssc_502100_0270#0,"""전투에서 고립될 때, 부상을 당했을 때,<br>나만 남겨지는 건 아닐까."""
ssc_502100_0280#0,"""항상 그런 불안함이 따라다닙니다."""
ssc_502100_0290#0,"""그 불안을 없애기 위해<br>그 규칙이 있는 겁니다."""
ssc_502100_0300#0,"""대원들끼리 안심하고 서로의 등을 맡길 수 있다."""
ssc_502100_0310#0,"""그렇게 신뢰를 쌓고,<br>임무를 수행해 나가는 겁니다."""
ssc_502100_0320#0,"""그 대원도<br>그 규칙을 따랐을 뿐입니다."""
ssc_502100_0330#0,"""위기에 처한 동료를 \""버리지 않는다\""."""
ssc_502100_0340#0,"""그 결과, 더 많은 동료가 살아남을 수 있었습니다."""
ssc_502100_0350#0,"""그 사람도 그렇게 생각했을 겁니다."""
ssc_502100_0360#0,"""그리고 결과적으로, 전황은 그 예측대로 흘러갔습니다."""
ssc_502100_0370#0,"""…그때 나는 그저<br>분노에 휩싸여서…"""
ssc_502100_0380#0,"""싸움은 결과가 전부입니다."""
ssc_502100_0390#0,"""물론 과정도 중요합니다만,<br>얼마나 많은 적을 물리치고, 얼마나 많은 동료가 살아남았는가."""
ssc_502100_0400#0,"""끝내 판단받는 건 그 한 가지뿐입니다."""
ssc_502100_0410#0,"""많은 희생이 발생하면,<br>그 책임은 그렌 대장이 짊어져야 합니다."""
ssc_502100_0420#0,"""물론 부관인 저도 마찬가지입니다."""
ssc_502100_0430#0,"""그 사람은 해야 할 일을 했을 뿐입니다."""
ssc_502100_0440#0,"""그러니, 고개를 들고 앞을 바라봐 주세요."""
ssc_502100_0450#0,"""카누이…"""
ssc_502100_0460#0,"""드릴 말씀은 여기까지입니다."""
ssc_502100_0470#0,"""…고마워."""
ssc_502100_0480#0,"""아뇨, 오히려 제가 주제넘은 짓을 했습니다."""
ssc_502100_0490#0,"""그럼 저는 임무로 복귀하겠습니다."""
ssc_502100_0500#0,"""…마음을 정리하는 게<br>도무지 쉬운 일은 아니지만…"""
ssc_502100_0510#0,"""카누이 말대로<br>앞을 보고 나아갈 수 있도록 노력할게."""
ssc_502100_0520#0,"""내게 미래를 맡겨 준<br>…그 아크스를 위해서라도."""
