name_7196#0,"""다츄아"""
ssn_005120_0001#0,"""신입이구나.<br>구이덴에게서 아크스의 기초를 배우고 있는 모양이네."""
ssn_005120_0002#0,"""좀 더 실력을 갈고닦은 뒤에 다시 와."""
ssn_005120_0101#0,"""나는 다츄아.<br>파이터 교관을 맡고 있어."""
ssn_005120_0102#0,"""파이터에 대해 지도를 받고 싶은 거야?"""
ssn_005120_0151#0,"""어머, 너는 파이터가 아니네."""
ssn_005120_0152#0,"""훈련하고 싶다면 \""클래스 카운터\""에서<br>클래스를 파이터로 바꾸고 와."""
ssn_005120_0153#0,"""그리고 파이터의 클래스 스킬을 습득해 두는 것도 잊지 말도록 해."""
ssn_005120_0301#0,"""지도를 받고 싶어지면 다시 와."""
ssn_005120_0103#0,"""파이터는 초근거리 전투에 특화된 클래스야.<br>특징적인 건, 무엇보다 높은 타격력이지."""
ssn_005120_0104#0,"""공격 액션도 다채로워.<br>화려하게 주먹을 꽂아 넣어 봐."""
ssn_005120_0105#0,"""반면에 공격 범위는 좁고 짧아.<br>적의 품속에 능숙하게 파고드는 게 중요하지."""
ssn_005120_0106#0,"""그리고 클래스 스킬을 쓰면 더 효과적으로 타격을 줄 수 있어.<br>추천은…… \""리미트 브레이크\""."""
ssn_005120_0107#0,"""뭐, 배우는 것보다 익숙해지는 게 먼저야.<br>과제를 줄 테니, 한번 해 봐."""
ssn_005120_0201#0,"""어때, 손맛은 좀 있었을까?"""
ssn_005120_0202#0,"""훈련하면서 알았겠지만,<br>역시 클래스 스킬이 중요해져."""
ssn_005120_0203#0,"""스킬은 익히기만 해서는 의미가 없어.<br>능숙하게 다룰 수 있도록 해."""
