name_7441#0,"""시라유키"""
ssn_015640_0001#0,"""매일 매일의<br>활약을 가까이서 지켜보고 있다."""
ssn_015640_0002#0,"""우리도 질 수 없지."""
ssn_015640_0101#0,"""지금의 너에겐<br>어디를 가든 적수가 없다고 할 수 있다."""
ssn_015640_0102#0,"""하지만 앞으로도 싸움은 계속된다.<br>훈련을 게을리 해서는 안 된다."""
ssn_015640_0103#0,"""그래서 한 가지 제안을 하고 싶다."""
ssn_015640_0104#0,"""자신의 한계까지<br>그 실력을 갈고 닦는 것은 어떤가?"""
ssn_015640_0201#0,"""하나의 클래스를<br>정복해 보는 것은 어떤가?"""
ssn_015640_0202#0,"""한층 더 성장한<br>너의 모습을 볼 수 있기를 기대하고 있다."""
ssn_015640_0301#0,"""그렇군. 그럼 다음 기회에."""
ssn_015640_0401#0,"""……그렇군.<br>더 성장한 모양이군."""
ssn_015640_0402#0,"""움직임을 보지 않고<br>겉모습만 봐도 알 수 있다……."""
ssn_015640_0403#0,"""후후…….너에겐 놀라움을 금치 못하겠다.<br>역시 그렌 대장이 인정하는 아크스다."""
ssn_015640_0404#0,"""나도 질 수 없지.<br>뒤처지지 않도록 정진해야겠다."""
ssn_015640_0501#0,"""후후…….너에겐 놀라움을 금치 못하겠다.<br>역시 그렌 대장이 인정하는 아크스다."""
ssn_015640_0502#0,"""나도 뒤처지지 않도록 정진해야겠군.<br>앞으로도 잘 부탁한다."""
