name_7400#0,"""듀아드라"""
ssn_014271_0001#0,"""그래. 설명하지."""
ssn_014271_0101#0,"""……응?<br>클래스가 브레이버가 아닌가 보네."""
ssn_014271_0102#0,"""전투법을 배우고 싶다면, \""클래스 카운터\""에서<br>클래스를 브레이버로 변경하고 와 줘."""
ssn_014271_0103#0,"""그리고, 브레이버의\""클래스 스킬\""도<br>제대로 배워 두도록."""
ssn_014271_0104#0,"""그래도 일단, 그 전에 브레이버가 뭔지<br>얘기는 해둘까."""
ssn_014271_0201#0,"""브레이버는 근거리와 원거리, <br>양쪽 전투에 모두 능해."""
ssn_014271_0202#0,"""근거리에선 카타나를, 원거리에선 불릿보우를<br>임기응변으로 바꾸면서 싸우지."""
ssn_014271_0203#0,"""공격 하나하나는 단순하지만, 깊이가 있어."""
ssn_014271_0204#0,"""그리고, 다른 클래스처럼 클래스 스킬도 중요해.<br>우선은 \""브레이브 컴뱃\""을 마스터하는 게 좋겠지."""
ssn_014271_0205#0,"""일단, 과제를 낼테니 한 번 해 봐."""
