name_7657#0,"""아디라"""
ssn_005060_0001#0,"""센트럴 시티에 온 걸 환영해!"""
ssn_005060_0002#0,"""동료가 늘어서 기뻐!<br>다 같이 힘내자!"""
ssn_005060_0101#0,"""저기, 너!<br>\""특수 능력\""이 뭔지 알아?"""
ssn_005060_0051#0,"""괜찮으면 알려 줄까!"""
ssn_005060_0052#0,"""좋아! 그럼 잘 들어!"""
ssn_005060_0102#0,"""무기나 방어구의 능력을 보정하는 건데……,<br>쉽게 말하면 \""개체 차이\"" 같은 거야."""
ssn_005060_0103#0,"""다음에 장비 데이터를 확인할 때,<br>주의해서 한번 봐 봐."""
ssn_005060_0104#0,"""그리고…… 사실 이 \""특수 능력\""은,<br>같은 장비에 추가하거나 다른 장비에 옮겨 붙일 수 있어."""
ssn_005060_0105#0,"""시험 삼아 한 번 도전해 보는 건 어때?"""
ssn_005060_0106#0,"""장비 튜닝은 아이템 랩에서 해 주는데,<br>\""특수 능력 캡슐\""이라는 게 필요하거든……."""
ssn_005060_0107#0,"""좋아, 이번엔 특별히!"""
ssn_005060_0108#0,"""내 특수 능력 캡슐을 줄게!<br>이걸 가지고 랩에 가 봐!"""
ssn_005060_0201#0,"""특수 능력 튜닝, 해 보니 어때?"""
ssn_005060_0202#0,"""특수 능력 하나하나는 작은 효과라도,<br>많이 추가하면 강력한 무기로 바꿀 수 있어!"""
ssn_005060_0203#0,"""너만의 커스터마이즈를 즐겨 봐!"""
ssn_005060_0301#0,"""그래? 알고 싶어지면 다시 와!"""
