name_7661#0,"""바시니아"""
ssn_013010_0001#0,"""센트럴 시티에 온 걸 환영해.<br>잘 왔어."""
ssn_013010_0002#0,"""지금은 아직 이것저것 배우는 중인 거지?<br>힘들 수도 있겠지만 힘내."""
ssn_013010_0101#0,"""너, \""타워\""가 뭔지 알아?<br>…아, 저 센트럴 타워 말고."""
ssn_013010_0102#0,"""모른다면 내가 가르쳐 줄게."""
ssn_013010_0201#0,"""알고 싶어지면 또 와."""
ssn_013010_0103#0,"""전투력은 충분한 것 같네.<br>지금 상태라면 원할 때 타워에 도전할 수 있을 거야."""
ssn_013010_0104#0,"""만일의 경우에 대비해서 전투력을 높여 두면 좋을 거야.<br>그럼 앞으로도 힘내."""
ssn_013010_0151#0,"""타워라는 건, 코쿤이랑 비슷한<br>트레이니아… 그러니까 훈련 시설을 말하는 거야."""
ssn_013010_0152#0,"""코쿤이랑 문양 같은 건 비슷하지만,<br>겉모습이 달라서 금방 알 수 있을 거야."""
ssn_013010_0153#0,"""하지만 타워 안은 코쿤보다 넓고 공략도 어려우니까,<br>전투력을 충분히 올린 뒤에 도전하는 게 좋아."""
ssn_013010_0154#0,"""그럼, 힘내 봐."""
ssn_013010_0301#0,"""타워는 코쿤보다 더 높은 훈련 효과를 얻을 수 있으니까,<br>다른 곳에서 발견하면 도전해 봐."""
ssn_013010_0302#0,"""그때도<br>전투력을 충분히 올린 뒤에 도전하도록 해."""
ssn_013010_0303#0,"""아 그래.<br>전투력 하니까 생각났는데…"""
ssn_013010_0304#0,"""전투력이 부족하면<br>참가할 수 없는 긴급 작전도 있으니까."""
ssn_013010_0305#0,"""만일에 대비해서 전투력을 높여 두는 게 좋을 거야.<br>그럼 앞으로도 힘내."""
