name_7746#0,"""아티"""
ssn_015180_0001#0,"""트레이니아 어드밴스를 활용하고 있어?"""
ssn_015180_0002#0,"""너는 제법 소질이 있어.<br>그 기세로 한층 더 실력을 키워줘."""
ssn_015180_0101#0,"""너구나. 마침 잘 왔어.<br>하고 싶은 말이 있어."""
ssn_015180_0102#0,"""예전에 캐논볼 럼블에<br>도전을 받은 거 기억나지?"""
ssn_015180_0103#0,"""사실 트레이니아 어드밴스는<br>이 밖에도 더 있어.."""
ssn_015180_0104#0,"""어때, 자세히 알고 싶어??"""
ssn_015180_0201#0,"""캐논볼 스트라이크는,<br>타겟팅의 타이밍이 중요해."""
ssn_015180_0202#0,"""힘내."""
ssn_015180_0301#0,"""그래, 또 와라."""
ssn_015180_0401#0,"""트레이니아 어드밴스를 활용하고 있어?"""
ssn_015180_0402#0,"""너에겐 기대하고 있어.<br>그 기세로 한층 더 실력을 키워줘."""
