name_7007#0,"""류린"""
ssq_014110_0010#0,"""수고 많으십니다.<br>이것으로 에아리오에 있는 트레이니아는 모두 답파되었습니다."""
ssq_014110_0020#0,"""좋은 데이터가 나왔어요.<br>아크스의 훈련에도 도움이 됩니다."""
ssq_014110_0030#0,"""그건 그렇고 트레이니아는 수수께끼로 가득한 장소입니다."""
ssq_014110_0040#0,"""누가, 언제 만들었는지도<br>무얼 위해 만들어졌는지도 알 수 없습니다."""
ssq_014110_0050#0,"""저희는 훈련 시설로 잉요하고 있습니다만<br>그게 맞을지도…"""
ssq_014110_0060#0,"""…맞다. 트레이니아 마스터 인정입니다.<br>축하합니다."""
ssq_014110_0070#0,"""앞으로도 열심히 해 주세요."""
ssq_014110_0101#0,"""라고 생각했는데 이미 모든 트레이니아를 답파 완료."""
ssq_014110_0102#0,"""음음… 얕볼 수 없겠네요."""
ssq_014110_0103#0,"""그건 그렇고 트레이니아는 수수께끼로 가득한 장소입니다."""
ssq_014110_0104#0,"""누가, 언제 만들었는지도<br>무얼 위해 만들어졌는지도 알 수 없습니다."""
ssq_014110_0105#0,"""저희는 훈련 시설로 잉요하고 있습니다만<br>그게 맞을지도…"""
ssq_014110_0106#0,"""…맞다. 트레이니아 마스터 인정입니다.<br>축하합니다."""
ssq_014110_0107#0,"""앞으로도 열심히 해 주세요."""
