name_7664#0,"""ホーニャン"""
ssn_011160_0010#0,"""あなた、見ない顔ね。<br>なるほど… 本当に、ここに来たばかりのようね。"""
ssn_011160_0020#0,"""じゃあ、もうちょっといろいろと身につけたら、<br>またここに来るといいわ。"""
ssn_011160_0030#0,"""よく来たわね。<br>あたしは法撃クラスの訓練教官、ホーニャンよ。"""
ssn_011160_0040#0,"""アークスとして、順調に力をつけてるみたいね。"""
ssn_011160_0045#0,"""そろそろ、あたしが直々に指導をしてあげようかしら。<br>どのクラスの戦い方について知りたいの？"""
ssn_011160_0050#0,"""で、どのクラスの戦い方について学びたいの？"""
ssn_011160_0060#0,"""あらそう？\u3000遠慮しなくていいのよ。<br>気が変わったら、また来るといいわ。"""
ssn_011160_0070#0,"""열심히 훈련에 힘쓰도록 해."""
ssn_011160_0080#0,"""あたしが教えたとおりにやれば、<br>法撃の腕は必ず上がるはずよ。"""
ssn_011160_0101#0,"""어때? 내가 가르쳐 준 대로 싸웠어?"""
ssn_011160_0102#0,"""이 훈련으로 클래스 스킬이 얼마나 중요한지도 알았겠지.<br>더 많이 배우고 익숙해지도록 해."""
ssn_011160_0103#0,"""그럼, 열심히 해."""
