Title#0,"""다섯 쌍둥이의 부탁"""
Summary#0,"""메리에게서 로스트 센트럴로 이어지는<br>통로에 위치한 연구시설에 있는 이루마에게<br>도시락을 가져다 달라는 부탁을 받는다."""
text0101#0,"""이루마에게 도시락을 가져다 주기"""
text0102#0,"""미스트라 수림의 류커 디바이스로 이동"""
text0103#0,"""미스트라 수림에 흐르는 강 근처에 있는<br>툴리를 찾기"""
text0111#0,"""툴리에게 무기를 가져다 주기"""
text0104#0,"""쿠카에게 모피를 가져다 주기"""
text0105#0,"""다난 설원의 류커 디바이스로 이동"""
text0106#0,"""다난 설원의 암벽 근처에 있는 <br>타이바스를 찾기"""
text0112#0,"""타이바스에게 방한복을 가져다 주기"""
text0107#0,"""메리에게 선물를 가져다 주기"""
Dummy#0,"""<space>"""
Objective310#0,"""<space>"""
