st_013560_0001#0,"""A.P.238/4/9/13:10"""
st_013560_0010#0,"""…후-, 후우웃!<br>아아 깜짝이야, 대단했어!<br>엄청난 엑시비션이었네!"""
st_013560_0020#0,"""주, 죽는 줄 알았어…<br>육망균형 클라리스 클레이스.<br>듣긴 했지만, 너무 규격 외야…"""
st_013560_0030#0,"""멀리서 보이던 애가 바로 걔였구나.<br>이야-, 대단한 경험을 했네!<br>육망균형의 테크닉! 대단해!"""
st_013560_0050#0,"""…응?<br><%me> 씨?"""
st_013560_0060#0,"""그 아이가 들고 있던 무기가<br>신경 쓰였어?<br>클라리사였나, 그렇게 불렀지."""
st_013560_0070#0,"""전에 비슷한 무기를<br>본 적이 있어?"""
st_013560_0080#0,"""…육망균형은 각자 원 오프 조정된<br>창세기를 갖고 있을 테니<br>같은 무기는 없을 텐데…"""
st_013560_0090#0,"""누가 레플리카를 만들었다든가?"""
st_013560_0100#0,"""아니면 클라리스 클레이스가<br>들고 있던 그게 가짜였을지도."""
st_013560_0110#0,"""…뭐-, 가능성을 늘어놓기 시작하면<br>뭐든 떠오르게 마련이니까-."""
st_013560_0120#0,"""그러니 필요하면 조사해 볼게.<br>왜냐면 우린 말이지…"""
st_013560_0130#0,"""소문의 정보원 자매<br>파티 앤 티아니까."""
