name01#0,"""오자"""
name02#0,"""마루"""
name03#0,"""리사"""
name04#0,"""아핀"""
name05#0,"""파티"""
name06#0,"""티아"""
name07#0,"""사라"""
skit01#0,"""이 스위치는… 과연<br>밟으면 일정 시간 동안만<br>펜스가 열리는 것 같네."""
skit02#0,"""…이 스위치, 혹시<br>밟으면 일장 시간 동안만<br>펜스가 열리는 걸지도 모르겠네."""
skit03#0,"""이 스위치, 밟으면 일정 시간 동안만<br>펜스가 열리는 것 같네요오.<br>아직은 미심쩍네요오."""
skit04#0,"""뭐야 이 스위치는…<br>아아, 밟으면 일장 시간 동안만<br>펜스가 열리는 거네."""
skit05#0,"""뭔가 이상한 스위치가 있어!<br>좋아, 눌러보자!"""
skit06#0,"""파티, 조금은 망설여 봐!<br>…아아, 밟으면 일정 시간 동안만<br>펜스가 열리는 스위치 같아."""
skit07#0,"""이거, 밟으면 일정 시간동안만<br>펜스가 열리는 스위치 같네.<br>애들 장난같달까 뭐라 해야하지."""
skit01#1,"""/ci2 2 이 스위치는… 과연<br>밟으면 일정 시간 동안만<br>펜스가 열리는 것 같네."""
skit02#1,"""/ci2 2 …이 스위치, 혹시<br>밟으면 일장 시간 동안만<br>펜스가 열리는 걸지도 모르겠네."""
skit03#1,"""/ci2 2 이 스위치, 밟으면 일정 시간 동안만<br>펜스가 열리는 것 같네요오.<br>아직은 미심쩍네요오."""
skit04#1,"""/ci2 2 뭐야 이 스위치는…<br>아아, 밟으면 일장 시간 동안만<br>펜스가 열리는 거네."""
skit05#1,"""/ci2 2 뭔가 이상한 스위치가 있어!<br>좋아, 눌러보자!"""
skit06#1,"""/ci2 2 파티, 조금은 망설여 봐!<br>…아아, 밟으면 일정 시간 동안만<br>펜스가 열리는 스위치 같아."""
skit07#1,"""/ci2 2 이거, 밟으면 일정 시간동안만<br>펜스가 열리는 스위치 같네.<br>애들 장난같달까 뭐라 해야하지."""
