name01#0,"""오자"""
name02#0,"""마루"""
name03#0,"""리사"""
name04#0,"""아핀"""
name05#0,"""파티"""
name06#0,"""티아"""
name07#0,"""사라"""
skit01#0,"""음?<br>방금 수풀 속에 뭔가 있었지?"""
skit02#0,"""…방금, 수풀 속에<br>뭔가 있었던 것 같다."""
skit03#0,"""후후후, 저걸로 숨을 수<br>있을 거라 생각하는걸까요오?<br>수풀 속에 누구 없나요오?"""
skit04#0,"""앗, 뭐지?<br>저 수풀, 방금 움직이지 않았어?"""
skit05#0,"""음~ 뭔가 이상한 기척이…<br>어디야~? 어디지~?"""
skit06#0,"""저 수풀에 뭔가 숨은 게 아닐까.<br>방금, 조금 움직이기도 했고."""
skit07#0,"""…이 기척, 저기 덤불이 아닐까?<br>그닥 큰 녀석은 아닌 것 같지만."""
skit01#1,"""/ci2 2 음?<br>방금 수풀 속에 뭔가 있었지?"""
skit02#1,"""/ci2 2 …방금, 수풀 속에<br>뭔가 있었던 것 같다."""
skit03#1,"""/ci2 2 후후후, 저걸로 숨을 수<br>있을 거라 생각하는걸까요오?<br>수풀 속에 누구 없나요오?"""
skit04#1,"""/ci2 2 앗, 뭐지?<br>저 수풀, 방금 움직이지 않았어?"""
skit05#1,"""/ci2 2 음~ 뭔가 이상한 기척이…<br>어디야~? 어디지~?"""
skit06#1,"""/ci2 2 저 수풀에 뭔가 숨은 게 아닐까.<br>방금, 조금 움직이기도 했고."""
skit07#1,"""/ci2 2 …이 기척, 저기 덤불이 아닐까?<br>그닥 큰 녀석은 아닌 것 같지만."""
