un_013020_0001#0,"""A.P.238/4/7"""
un_013020_0010#0,"""…안녕하세요."""
un_013020_0020#0,"""아크스 행사… 아, 아까 모니터에서<br>들리던 그거 말인가요.<br>전 관심 없어요."""
un_013020_0030#0,"""제 관심은 단 하나…<br>어떻게 해야 더 강해져서<br>다커를 없앨 수 있을지, 그것뿐입니다."""
un_013020_0040#0,"""…다크 팔즈조차<br>안중에 없을 만큼의 힘이 있다면.<br>제게 그런 힘만 있었다면…"""
un_013020_0050#0,"""…그 애는 죽지 않아도 됐을 텐데."""
un_013020_0060#0,"""…가르쳐 주세요.<br>어째서 그 애가 죽어야만 했던 건가요."""
un_013020_0070#0,"""어째서 그 애였던 건가요…<br>그 애는 재능은 없었지만 노력했고<br>필사적으로 버텨 왔는데…"""
un_013020_0080#0,"""겨우 꿈을 이루려던 참이었는데<br>그런데도…"""
un_013020_0090#0,"""…죄송해요.<br>의미 없는 질문이었네요."""
un_013020_0100#0,"""아무 생각 없이 모든 다커를<br>없애 버리면 그걸로 끝인 거겠죠."""
un_013020_0110#0,"""네, 알고 있었어요.<br>그게 제가 할 수 있는 유일한 일이고<br>하나뿐인 길일 테니까요."""
un_013020_0120#0,"""그럼 전 가볼게요.<br>여러분이 행사에 참가하고 있는 사이에<br>더 많이 없애 두지 않으면…"""
