un_013230_0010#0,"""あ、<%me>。<br>その、最近何かヘンなこと起きてない？"""
un_013230_0020#0,"""ないならいいんだ、うん。<br>少し、気になっただけだから。"""
un_013230_0030#0,"""何て言ったらいいんだろう。<br>あなたが見られている？<br>狙われている、ような気が……"""
un_013230_0040#0,"""気のせいかな、気のせいだよね。<br>ごめん、ヘンなことを言っちゃって。"""
un_013230_0050#0,"""最近、大きな出来事が続いてるのは<br>わたしにもなんとなくわかってる。"""
un_013230_0060#0,"""でも、何が起きたのかは教えて<br>もらえないから、不安になってる<br>だけなんだと思う。"""
un_013230_0070#0,"""大丈夫、わたしは大丈夫だよ。<br>だって、あなたが来てくれるから。<br>だから安心、大丈夫。"""
un_013230_0080#0,"""わたしは、帰ってきた<br><%me>に<br>声をかけることしかできないけど……"""
un_013230_0090#0,"""せめて、わたしと話してるときは<br>あなたが安心していられるように<br>がんばるから。"""
un_013230_0100#0,"""うん。がんばる。<br>だから、いつでも会いに来てね。"""
un_013230_0110#0,"""ずっと、ここで、待ってるから。"""
