name01#0,"""오자"""
name02#0,"""마루"""
name03#0,"""리사"""
name04#0,"""아핀"""
name05#0,"""파티"""
name06#0,"""티아"""
name07#0,"""사라"""
skit01#0,"""음, 저건… 에너미를<br>모아 놓은 건가?<br>노려 볼 만하겠군."""
skit02#0,"""…어라, 에너미를<br>모아 놓은 걸까.<br>…노려 볼 만할지도."""
skit03#0,"""어라어라어라어라아?<br>적들이 한 곳에 모여<br>있네요오? 마음껏 노려도 되겠네요!"""
skit04#0,"""어라, 뭐지 저건?<br>에너미를 모아 놓은 건가?<br>점수를 벌 기회라는 건가."""
skit05#0,"""오~ 엄청나, 대단해!<br>에너미를 모아 놨어!"""
skit06#0,"""스코어 획득의 핵심이란 걸까나?"""
skit07#0,"""에너미가 모여 있는 것 같네.<br>저걸 쓰러뜨리면 상당한 스코어를<br>기대할 수 있을 것 같아…"""
skit01#1,"""/ci2 2 음, 저건… 에너미를<br>모아 놓은 건가?<br>노려 볼 만하겠군."""
skit02#1,"""/ci2 2 …어라, 에너미를<br>모아 놓은 걸까.<br>…노려 볼 만할지도."""
skit03#1,"""/ci2 2 어라어라어라어라아?<br>적들이 한 곳에 모여<br>있네요오? 마음껏 노려도 되겠네요!"""
skit04#1,"""/ci2 2 어라, 뭐지 저건?<br>에너미를 모아 놓은 건가?<br>점수를 벌 기회라는 건가."""
skit05#1,"""/ci2 2 오~ 엄청나, 대단해!<br>에너미를 모아 놨어!"""
skit06#1,"""/ci2 2 스코어 획득의 핵심이란 걸까나?"""
skit07#1,"""/ci2 2 에너미가 모여 있는 것 같네.<br>저걸 쓰러뜨리면 상당한 스코어를<br>기대할 수 있을 것 같아…"""
