st_013120_0001#0,"""A.P.238/4/9/11:30"""
st_013120_0010#0,"""흠, 여긴 아무래도<br>잠깐 쉬어 갈 지점인 모양이군."""
st_013120_0020#0,"""그런데 어느새 이렇게나<br>든든한 존재가 됐단 말이지.<br>…바로 네 얘기다."""
st_013120_0030#0,"""불과 얼마 전까지만 해도 신참이나 다름없는<br>분위기였는데, 이제는 벌써<br>숙련자 같아."""
st_013120_0040#0,"""다른 이들과 보낸 시간은<br>같았을 텐데, 대단하군."""
st_013120_0050#0,"""경험의 밀도 때문인지, 아니면 다른 무언가인지.<br>어쨌든 우수하다는 건 좋은 일이다."""
st_013120_0060#0,"""이것저것 성가신 일이 이어지고 있지만<br>너 같은 녀석이 있어 준다면<br>어떻게든 되겠지."""
st_013120_0070#0,"""핫핫핫하!<br>참가자 여러분, 안녕하신가!<br>재밌게 즐기고들 있나!"""
st_013120_0080#0,"""어이 휴이, 휴이!<br>이거 나도 참가하고 싶어!<br>참가할 수는 없는 건가!"""
st_013120_0090#0,"""넌 운영진이잖아…<br>에헴… 정신 차리고<br>중간 경과 보고다!"""
st_013120_0100#0,"""…현재 성적 우수자는<br>레인저 쟝과<br>포스 마루의 페어!"""
st_013120_0110#0,"""누구야?"""
st_013120_0120#0,"""헌터 오자와 짝을 이룬<br><%me>도<br>잘하고 있는 모양이군!"""
st_013120_0130#0,"""앗, 그 이름은<br>들어본 적 있는 것 같기도…<br>없는 것 같기도…"""
st_013120_0140#0,"""그렇다 해도 다들 거의 막상막하다!<br>접전 열전 대격전!<br>얼마든지 역전할 기회는 있다!"""
st_013120_0150#0,"""저기, 휴이.<br>적혀있는 대로 읽으면<br>어떡해. 즐거워?"""
st_013120_0160#0,"""자, 그런 뜻에서 후반전도<br>계속해서 제군의 활약을 기대하겠다!<br>이상!"""
st_013120_0170#0,"""…자, 클라리스 클레이스.<br>이건 참가자 자료니까<br>앞으로를 위해서라도 제대로 읽어 둬."""
st_013120_0180#0,"""…큿, 저 녀석한테 뒤지고 있는 건가!<br><%me>!<br>서둘러 가자! 후반전에서 뒤집는 거다!"""
