st_013520_0001#0,"""A.P.238/4/9/11:30"""
st_013520_0010#0,"""이야, 대단한데-!<br>이렇게 같이 싸워 보니까<br>네가 얼마나 강한지 잘 알겠어!"""
st_013520_0020#0,"""역시 내 안목에<br>틀림은 없었다니까!"""
st_013520_0030#0,"""유난히 우쭐대네, 하지만 처음 이 사람을<br>강하다고 본 건 나였거든.<br>멋대로 네 공으로 돌리지 마."""
st_013520_0040#0,"""그래도 파티 말대로<br>직접 봐야 알 수 있다는<br>느낌이랄까, 상상 이상이야."""
st_013520_0050#0,"""왜 그럴까, 전엔 여기까지<br>압도적이라는 느낌은 아니었던 것 같은데."""
st_013520_0060#0,"""성장이 빠르다는 거겠지-.<br>역전의 용사 같은 얼굴이 됐잖아!<br>좋겠다아-, 멋있다아-!"""
st_013520_0070#0,"""핫핫핫하!<br>참가자 여러분, 안녕하신가!<br>재밌게 즐기고들 있나!"""
st_013520_0080#0,"""어이 휴이, 휴이!<br>이거 나도 참가하고 싶어!<br>참가할 수는 없는 건가!"""
st_013520_0090#0,"""넌 운영진이잖아…<br>에헴… 정신 차리고<br>중간 경과 보고다!"""
st_013520_0100#0,"""…현재 성적 우수자는<br>헌터 오자와<br>포스 마루의 페어!"""
st_013520_0110#0,"""응응? 누구지?"""
st_013520_0120#0,"""소문으로 듣던 정보원 자매와<br><%me>의 파티도<br>잘하고 있는 모양이군!"""
st_013520_0130#0,"""앗, 그 이름은<br>들어본 적 있는 것 같기도 하고…<br>없는 것 같기도 하고…"""
st_013520_0140#0,"""그렇다 해도 다들 거의 막상막하다!<br>접전 열전 대격전!<br>얼마든지 역전할 기회는 있다!"""
st_013520_0150#0,"""저기, 휴이.<br>적혀있는 대로 읽으면<br>어떡해. 즐거워?"""
st_013520_0160#0,"""자, 그런 뜻에서 후반전도<br>계속해서 제군의 활약을 기대하겠다!<br>이상!"""
st_013520_0170#0,"""…자, 클라리스 클레이스.<br>이거 참가자 자료니까<br>앞으로를 위해서라도 제대로 읽어 둬."""
st_013520_0180#0,"""우핫! 들었어, 티아? 들었지?!<br>소문의 정보원 자매래!<br>우리, 소문나고 있다구!"""
st_013520_0190#0,"""그래 그래, 쓸데없이 들뜨지 마.<br>이름이 직접 나온 것도 아니잖아.<br>정말이지."""
