common01#0,"""ダミーメッセージ"""
sk_common_0010#0,"""거기까지다!<br>훌륭해, 훌륭해! 정말 대단했다!<br>너희들의 움직임, 똑똑히 봤다!"""
sk_common_0020#0,"""…으음.<br>조금은 아쉬운 성적이군!"""
sk_common_0030#0,"""하지만 이 전기대회를 끝까지<br>해낸 그 기개는 참으로 훌륭하다!<br>그것이야말로 아크스에 필요한 것이다!"""
sk_common_0040#0,"""아쉽게도 상위 입상은 놓쳤고<br>엑시비션도 다음으로 미뤄졌지만<br>너희들의 기개는 충분히 전해졌다!"""
sk_common_0050#0,"""자, 돌아가도록 해라!<br>모두가 너희를 기다리고 있다!"""
sk_common_0060#0,"""트집 잡을 데 없는 성적이다!<br>기획한 내 면목이 서는군!<br>나 대단해! 내 혜안이란!"""
sk_common_0070#0,"""하지만 뭐, 참가자인 너희들의<br>노력이 있었기에 가능한 성적이다!"""
sk_common_0080#0,"""이건 뭐 하나, 특별한 포상을<br>준비해 주지 않고서는 성이 안 풀리겠군!"""
sk_common_0090#0,"""하하하하하!<br>참가자 제군, 수고 많았다!<br>재밌게 즐기고 있나!"""
sk_common_0100#0,"""이봐, 휴이, 휴이!<br>이거 나도 참가하고 싶다!<br>참가하면 안 되는 건가!"""
sk_common_0110#0,"""넌 운영진이잖아…<br>에헴… 정신 차리고<br>중간 경과 보고다!"""
sk_common_0120#0,"""누구지?"""
sk_common_0130#0,"""앗, 그 이름은<br>들어본 적 있는 것 같기도…<br>아닌 것 같기도…"""
sk_common_0140#0,"""하지만 모두 거의 대등하다!<br>접전 열전 대격전!<br>얼마든지 역전할 기회는 있다!"""
sk_common_0150#0,"""있지, 휴이.<br>적힌 대로 그대로 읽어서<br>어쩌자는 거야? 즐거워?"""
sk_common_0160#0,"""자, 그럼 후반전도<br>계속해서 제군의 활약을 기대하지!<br>이상!"""
sk_common_0170#0,"""…봐라, 클라리스 클레이스.<br>이건 참가자 자료니까<br>앞으로를 위해서라도 제대로 읽어 둬. 알겠지?"""
sk_common_0180#0,"""자, 잠깐, 휴이!<br>…내 건 어떻게 할 셈이야?"""
sk_common_0190#0,"""응? 뭘 어떻게 하긴.<br>최우수상 축하한다, 말고<br>또 무슨 말을 해 줘야 하지?"""
sk_common_0200#0,"""아니, 그게 아니라…"""
sk_common_0210#0,"""후하하하하하!<br>자잘한 건 신경 쓰지 마라!"""
sk_common_0220#0,"""칼을 맞부딪쳐 보니 알겠더군!<br>네 기개에는 사특한 구석이 없다!<br>그러니 자잘한 건 아무래도 좋다!"""
sk_common_0230#0,"""정의의 마음만 잊지 않으면<br>대부분의 일은 어떻게든 되는 법이다!<br>무턱대고 밀고 나가는 정도가 딱 좋아!"""
sk_common_0240#0,"""듣고 싶던 건 그것뿐인가?<br>그럼 이만!"""
sk_common_0250#0,"""…정말, 여러 의미로<br>규격 외의 존재네, 저건.<br>나도 아직 멀었어."""
sk_common_0260#0,"""그럼, 난 여기서.<br>함께해서 즐거웠어.<br>또 만나자."""
sk_common_0270#0,"""들어본 것 같은 이름인데…<br>처음 듣는 것 같기도 하고…"""
sk_common_0280#0,"""다음은 헌터 오자와<br>포스 마루의 페어!"""
sk_common_0290#0,"""소문으로만 듣던 정보원 자매도<br>제법 열심히 하고 있는 모양이군!"""
sk_common_0300#0,"""누구지?"""
sk_common_0310#0,"""…잘 들어, 클라리스 클레이스.<br>어른이 된다는 건 슬픈 일이야.<br>때론 컨닝 페이퍼도 필요한 법이지."""
sk_common_0320#0,"""일단 참가자 자료 정도는<br>너도 읽어 두라고."""
Name01#0,"""애쉬"""
Name02#0,"""스우"""
Name03#0,"""루피카"""
Name04#0,"""길리엄"""
