name01#0,"""오자"""
name02#0,"""마루"""
name03#0,"""리사"""
name04#0,"""아핀"""
name05#0,"""파티"""
name06#0,"""티아"""
name07#0,"""사라"""
skit01#0,"""쳇, 이번엔 갇히게 하는 장치인가!<br>펜스가 열리기 전에 쓰러뜨리면 문제 없지!"""
skit02#0,"""…갇혀버렸어.<br>하지만, 펜스가 열리기 전에 쓰러뜨리면<br>아무 문제가 없을, 거야."""
skit03#0,"""어라? 갇혀버렸나요오?<br>좋네요, 이 상황…<br>즐겁게 즐겁게 할 수 있을 것 같아요오."""
skit04#0,"""아앗, 갇혀버린 건가?<br>비좁은 곳에서 싸우는 거<br>별로 안 좋아하는데."""
skit05#0,"""좋아, 적을 가두는 데에<br>성공했어~!<br>이걸로 일망타진!"""
skit06#0,"""우리도 갇혀있지만…<br>일망타진 당하지 않도록<br>조심해야겠지."""
skit07#0,"""…가둔다는 건<br>철저하게 하라는 뜻인가?<br>흠, 그렇길 바라야겠지."""
skit01#1,"""/ci2 2 쳇, 이번엔 갇히게 하는 장치인가!<br>펜스가 열리기 전에 쓰러뜨리면 문제 없지!"""
skit02#1,"""/ci2 2 …갇혀버렸어.<br>하지만, 펜스가 열리기 전에 쓰러뜨리면<br>아무 문제가 없을, 거야."""
skit03#1,"""/ci2 2 어라? 갇혀버렸나요오?<br>좋네요, 이 상황…<br>즐겁게 즐겁게 할 수 있을 것 같아요오."""
skit04#1,"""/ci2 2 아앗, 갇혀버린 건가?<br>비좁은 곳에서 싸우는 거<br>별로 안 좋아하는데."""
skit05#1,"""/ci2 2 좋아, 적을 가두는 데에<br>성공했어~!<br>이걸로 일망타진!"""
skit06#1,"""/ci2 2 우리도 갇혀있지만…<br>일망타진 당하지 않도록<br>조심해야겠지."""
skit07#1,"""/ci2 2 …가둔다는 건<br>철저하게 하라는 뜻인가?<br>흠, 그렇길 바라야겠지."""
