un_013190_0001#0,"""A.P.238/4/8"""
un_013190_0010#0,"""안녕!<br>갑작스럽지만 다짜고짜 질문이다!<br>너, 전기대회에 참가할 거야?"""
un_013190_0020#0,"""할 거지, 하지?<br>응, 그래! 하자 하자!<br>자, 결정!"""
un_013190_0030#0,"""그리고 전기대회는<br>규칙상 파티를 짜서 참가하는 게<br>필수래-!"""
un_013190_0040#0,"""자, 여기서 두 번째 질문!<br>너, 같이 짤 상대는 정했어?<br>안 정했지? 그렇지!"""
un_013190_0050#0,"""좋아, 여기서 특별한 힌트다!<br>무려 지금 네 눈앞에<br>마침 시간이 비어 있는 아크스가 있습니다!"""
un_013190_0060#0,"""누굴까~? 누구일까~?"""
un_013190_0070#0,"""그건 분명 나겠지.<br>불러 준다면 기꺼이."""
un_013190_0080#0,"""잠깐, 아니, 아니아니!<br>나 무시하고 티아만 부르는 건<br>안 돼 안 돼, 말도 안 돼!"""
un_013190_0090#0,"""왜냐하면<br>나랑 티아는 둘이 합쳐서<br>파티 앤 티아니까!"""
un_013190_0100#0,"""그러면서 나를 두고<br>혼자 권유를 시작한 사람은 누구더라?"""
un_013190_0110#0,"""다, 다만 말이야…<br>전기대회, 재밌어 보인단 말이야!"""
un_013190_0120#0,"""딱딱한 행사일 줄 알아서<br>시큰둥했는데<br>뭔가 그런 느낌도 아니고!"""
un_013190_0130#0,"""…하아.<br>그러니까 파티가<br>전기대회에 참가하고 싶다는 얘기야."""
un_013190_0140#0,"""지금이라면 덤으로 나 티아도<br>같이 붙어서 협력해 줄 테니까<br>불러 주면 기쁠지도."""
un_013190_0150#0,"""불러 줘-, 불러 달라구-.<br>안 불러 주면<br>저주할 거야-…"""
un_013190_0160#0,"""이 바보의 헛소리는 신경 쓰지 말고<br>내키면 부르는 정도로만<br>생각하면 되니까."""
