st_013440_0001#0,"""A.P.238/4/9/12:30"""
st_013440_0010#0,"""거기까지다!<br>훌륭해, 훌륭해! 정말 대단했다!<br>너희들의 움직임, 똑똑히 봤다!"""
st_013440_0020#0,"""…으음.<br>조금은 아쉬운 성적이군!"""
st_013440_0030#0,"""하지만 이 전기대회를 끝까지<br>해낸 그 기개는 참으로 훌륭하다!<br>그것이야말로 아크스에 필요한 것이다!"""
st_013440_0040#0,"""아쉽게도 상위 입상은 놓쳤지만<br>너희들의 기개는<br>충분히 전해졌다!"""
st_013440_0060#0,"""트집 잡을 데 없는 성적이다!<br>기획한 내 면목이 서는군!<br>나 대단해! 내 혜안이란!"""
st_013440_0070#0,"""하지만 뭐, 참가자인 너희들의<br>노력이 있었기에 가능한 성적이다!"""
st_013440_0080#0,"""자, 돌아가도록 해라!<br>모두가 너희를 기다리…"""
st_013440_0100#0,"""…윽!!<br>뭐, 뭐지 이 느낌은…!"""
st_013440_0110#0,"""어, 어이, 누구냐…!<br>거기 누가 있지, 나와라!"""
st_013440_0120#0,"""호오, 아크스 치고는 제법 예리하네."""
st_013440_0130#0,"""방해되지 않게 잘 숨었다고<br>생각했는데<br>아직 이 몸에도 익숙해지질 않았네."""
st_013440_0140#0,"""너, 너는…!"""
st_013440_0150#0,"""응? 내가 그렇게 이상한 얼굴이라도 해?<br>나름 인간 얼굴에 인간 차림이라고<br>생각하는데 말이야?"""
st_013440_0160#0,"""아아, 훔쳐본 거에 화가 난 걸까?<br>괜찮잖아, 닳는 것도 아니고.<br>재밌어 보여서 그만, 말이지."""
st_013440_0170#0,"""게다가…"""
st_013440_0180#0,"""【거구】를 격퇴한 녀석을<br>직접 이 눈으로 보고 싶었거든."""
st_013440_0190#0,"""【거구】…<br>얼마 전 그 다크 펄스…!"""
st_013440_0200#0,"""그렇게까지 경계하지 않아도<br>지금 여기서 일을 벌릴<br>생각은 없어."""
st_013440_0210#0,"""그러니까 그렇게 어깨 힘주지 말고<br>릴랙스, 릴랙스.<br>금방 가 줄 테니까."""
st_013440_0220#0,"""어, 어이!"""
st_013440_0230#0,"""왜 그래. 난 돌아갈 건데.<br>죽고 싶다는 상담 말고는<br>상대할 생각 없거든."""
st_013440_0240#0,"""너… 그 얼굴은…<br>아니, 너, 너는 대체 누구냐…!"""
st_013440_0250#0,"""너희들의 적이야."""
st_013440_0260#0,"""아니, 정확히는 우리들의 적이<br>너희들인 건가?"""
st_013440_0270#0,"""사실은 여기서<br>만난 김에<br>죽여 버려도 괜찮겠지만…"""
st_013440_0280#0,"""왜일까? 이상하게 마음이<br>차분해져 버렸으니까, 봐주도록 하지."""
st_013440_0290#0,"""그럼 이만.<br>다음에 만날 때는 아마 처음부터<br>죽이러 들 테니까, 조심해."""
st_013440_0300#0,"""…야, 봤지, 방금?"""
st_013440_0310#0,"""그 말투… 그 분위기…<br>차원이 다른 위압감…<br>야, 파트너. 저 녀석…"""
st_013440_0320#0,"""다크 펄스…일지도 몰라"""
st_013440_0330#0,"""그 가면을 쓴 사람과 닮았어"""
st_013440_0340#0,"""역시 그런가, 그런 거냐…<br>직접 마주친 네가 말하는 거니까<br>그런 거겠지…"""
st_013440_0350#0,"""아아, 응. 나베리우스에서 만난<br>그 녀석과 비슷한 느낌이었어…"""
st_013440_0360#0,"""하지만 말이야… 그것과는 또 달리<br>얼마 전 그 다크 펄스 같은<br>위압감이 있었잖아…"""
st_013440_0370#0,"""마치 그 자체와 마주하고 있는 듯한<br>그런 느낌의…"""
st_013440_0380#0,"""…근데, 왜지.<br>왜 저 얼굴을 하고 있는 거냐고…!"""
st_013440_0390#0,"""…미안. 좀 흔들렸어.<br>도무지 이해가 안 되는 일뿐이라서, 말이야."""
st_013440_0400#0,"""하하…<br>정말이지, 내 안 좋은 예감은<br>잘도 맞는단 말이지…"""
st_013440_0410#0,"""안 맞았으면 하는 것들만<br>백발백중이라, 질린다 정말…"""
