name01#0,"""오자"""
name02#0,"""마루"""
name03#0,"""리사"""
name04#0,"""아핀"""
name05#0,"""파티"""
name06#0,"""티아"""
name07#0,"""사라"""
linewindow#0,"""<br>다커가 도망치려 한다!<br>"""
skit01#0,"""도망치기 전에 쓰러뜨리자!"""
skit02#0,"""…도망치기 전에 잡아야겠지."""
skit03#0,"""어라어라, 필사적으로 도망치네요오?<br>뭐, 소용없지만 말이죠오."""
skit04#0,"""앗, 갑자기 달아나잖아!<br>잠깐 잠깐, 놓칠 줄 알아!"""
skit05#0,"""후후후… 내 힘에<br>겁을 먹은 모양이군!<br>자, 허둥지둥 도망쳐 봐라!"""
skit06#0,"""아니, 놓치면 안 되거든.<br>몇 번을 말해도 이건 점수로<br>겨루는 대회라니까?"""
skit07#0,"""등을 노리는 건 취향이 아니지만<br>승부에서 지는 건 싫어."""
skit01#1,"""/ci2 2 도망치기 전에 쓰러뜨리자!"""
skit02#1,"""/ci2 2 …도망치기 전에 잡아야겠지."""
skit03#1,"""/ci2 2 어라어라, 필사적으로 도망치네요오?<br>뭐, 소용없지만 말이죠오."""
skit04#1,"""/ci2 2 앗, 갑자기 달아나잖아!<br>잠깐 잠깐, 놓칠 줄 알아!"""
skit05#1,"""/ci2 2 후후후… 내 힘에<br>겁을 먹은 모양이군!<br>자, 허둥지둥 도망쳐 봐라!"""
skit06#1,"""/ci2 2 아니, 놓치면 안 되거든.<br>몇 번을 말해도 이건 점수로<br>겨루는 대회라니까?"""
skit07#1,"""/ci2 2 등을 노리는 건 취향이 아니지만<br>승부에서 지는 건 싫어."""
