11_voice_NPC_5087_100#0,"""오, 마침 잘 왔어!"""
Azanami_favs_before_020#0,"""이 누나가 주는 선물이야!<br>자, 가져가, 가져가~!"""
Azanami_favs_after_010#0,"""보답은 됐어, 됐어.<br>늘 신세 지고 있으니까."""
Azanami_favs_after_020#0,"""그럼, 또 보자."""
Azanami_favs_present_010#0,"""아자나미에게서 『아사기리 렌단』을 받았습니다."""
Azanami_favs_present_020#0,"""아자나미에게서 『겟카 자쿠로』를 받았습니다."""
Azanami_favs_present_030#0,"""아자나미에게서 『신서사이저』를 받았습니다."""
Azanami_favs_present_040#0,"""아자나미에게서 『칸란 키쿄우』를 받았습니다."""
Azanami_favs_present_050#0,"""아자나미에게서 『신서사이저』를 받았습니다."""
Azanami_favs_present_060#0,"""아자나미에게서 『사쿠라 엔도』를 받았습니다."""
Azanami_favs_present_070#0,"""아자나미에게서 『신서사이저』를 받았습니다."""
Azanami_favs_present_080#0,"""아자나미에게서 『히엔 츠바키』를 받았습니다."""
Azanami_favs_present_090#0,"""아자나미에게서 『신서사이저』를 받았습니다."""
Azanami_favs_present_100#0,"""아자나미에게서 『츠키미 사잔카』를 받았습니다."""
Azanami_favs_present_add_001#0,"""아자나미에게서 『<%skit_text>』를 받았습니다."""
skit01_010#0,"""근거리든 원거리든, 어느 쪽으로도<br>싸울 수 있는 게 브레이버야!"""
skit01_020#0,"""카타나와 불릿 보우, 둘 다 재미있어~!<br>관심이 생기면 나한테 물어봐.<br>브레이버, 잘 부탁해!"""
Alice_01_10#0,"""응? 내가 왜<br>브레이버라는 클래스를 새로<br>만들 생각을 했냐고?"""
Alice_01_20#0,"""그렇게 되기까지 우여곡절이……<br>아니, 그건 제쳐 두고 간단히 말하면<br>내 적성이 좀 특이했기 때문이야."""
Alice_01_30#0,"""헌터도, 레인저도 아닌<br>둘 다 할 수 있겠지만 어느 쪽을 해도<br>어중간한 느낌이었거든."""
Alice_01_40#0,"""적성이 떨어지는 것도 아니니까<br>그럼 아예 나한테 딱 맞는<br>클래스를 만들어 버리자, 한 거지."""
Alice_01_50#0,"""뭐, 원래 레기아스가 제창했던<br>새 클래스의 구조를 빌려<br>조립한 거긴 하지만 말이야."""
Alice_01_60#0,"""카타나는 레기아스의 아이디어.<br>불릿 보우는 내 아이디어야."""
Alice_01_70#0,"""둘 다 완벽하게 다루려고<br>지금 카타나를 연습 중이라는 거야.<br>이야, 이 누나도 참 부지런하지?"""
11_voice_NPC_5087_101#0,"""오, 무슨 일이야?<br>……크리스마스 선물로 줄 기념품?<br>좋아, 이 누나가 생각해 볼게!"""
Aru_01_20#0,"""음, 기념이라……<br>오랫동안 남는 거라면<br>아크스에게는 칭호 같은 거?"""
11_voice_NPC_5087_100#1,"""볼 때마다 떠올릴 수 있으니<br>기념이 될 것 같은데<br>어때……?"""
11_voice_NPC_5087_100#2,"""자~ 브레이버입니다~<br>브레이버를 잘 부탁해~!"""
Npc87_mb01_020#0,"""카타나를 쓸 수 있어~!<br>불릿 보우도 함께 따라와~!<br>자, 이리 와서 구경해~!"""
11_voice_NPC_5087_100#3,"""브레이버 적성은<br>헌터에 가까운 느낌이려나."""
Npc87_mb02_020#0,"""그래서 레기아스도 겸직을<br>했던 거고."""
11_voice_NPC_5087_100#4,"""언제, 왜 브레이버를 만들 생각을<br>했냐고?"""
Npc87_mb03_020#0,"""음…… 그러게……<br>계시라고 하면 믿을래?<br>찌릿하고 느낌이 왔거든, 찌릿하고!"""
11_voice_NPC_5087_100#5,"""카타나는 호흡이 딱 맞았을 때의<br>짜릿함이 각별하다니까~!"""
Npc87_mb04_020#0,"""해 본 적이 없다면<br>한 번은 해 봐야지. 안 하면 손해야~!"""
11_voice_NPC_5087_100#6,"""노린 과녁을 정확히 맞혔을 때의<br>불릿 보우 손맛은<br>정말 참을 수 없지~!"""
Npc87_mb05_020#0,"""해 본 적이 없다니 너무 아까워서<br>귀신이 나올 지경이네.<br>지금 당장 한 번 해 봐야 해."""
11_voice_NPC_5087_100#7,"""카타나는 말이야, 납도할 때<br>챙, 하고 소리가 나는 게<br>멋있단 말이지!"""
Npc87_mb06_020#0,"""전투에는 강함이 꼭 필요하지만<br>아름다움도 필요하다고<br>나는 생각해."""
11_voice_NPC_5087_100#8,"""불릿 보우를 쏜 다음<br>움직임을 멈추고 여운을 즐기는 것도<br>중요하다고 생각해!"""
Npc87_mb07_020#0,"""강함만 추구해서는<br>도달할 수 없는 아름다움이 있다고 생각해."""
11_voice_NPC_5087_104#0,"""아직 뭔가 일어날 것 같은 분위기네."""
Npc87_mb08_020#0,"""아니, 레기아스에게 지도를 받으려고<br>했는데 아직 돌아오지 않아서.<br>조금 불길한 예감이 들어."""
11_voice_NPC_5087_104#1,"""그렇구나……<br>지난번에 레기아스가 없었던 이유는<br>그 다크 펄스 때문이었구나."""
Npc87_mb09_020#0,"""【거구】라고 했지, 저 녀석.<br>40년 전에 아크스를 완전히<br>박살 냈던 게 저 녀석인가."""
11_voice_NPC_5087_104#2,"""음, 나는 폭주룡보다<br>뒤처리꾼이라는 소문이 더 신경 쓰이네."""
Npc87_mb10_020#0,"""그 두 가지가 거의 동시에 화제로<br>떠올랐잖아?<br>뭔가 관계가 있는 것 같은데……"""
11_voice_NPC_5087_102#0,"""전기대회라니!<br>홍보하기에 딱 좋았는데<br>레기아스가 말렸어……"""
