11_voice_NPC_5004_100#0,"""……아, 저기……<br>조심해서 다녀와, 알았지?"""
11_voice_NPC_5004_101#0,"""여긴 정말 사람이 많네.<br>볼거리가 많아서 눈이 핑 돌 것 같아.<br>후훗, 왜일까. 즐거워."""
11_voice_NPC_5004_100#1,"""나, 과거를 거의 기억하지 못하지만<br>그렇게 불안하진 않아.<br>……왜일까?"""
11_voice_NPC_5004_100#2,"""다 같이 떠들썩하게 지내는 건<br>익숙한 광경인데도 새롭게 보여.<br>……보기만 해도 즐거워."""
11_voice_NPC_5004_105#0,"""가끔 말이야, 꿈을 꿔.<br>내용은 기억 안 나지만 이상한 꿈이야.<br>무섭기도 하고, 그립기도 한……"""
11_voice_NPC_5004_101#1,"""어서 와, <%me>.<br>오늘도 열심히 하고 있구나.<br>응, 정말 열심히 하고 있어."""
11_voice_NPC_5004_105#1,"""난 운 좋게 구조됐지만<br>나 말고도 나 같은 사람이<br>또 있을까?"""
Matoi_08_020#0,"""만약 있다면<br>……나만 구조된 것 같아서<br>조금 미안하다고 해야 하나."""
11_voice_NPC_5004_105#2,"""아크스 모두 힘들어 보이지만<br>아주 활기차 보여서 부러워.<br>언젠가 나도 곁에 설 수 있으면 좋겠다."""
11_voice_NPC_5004_104#0,"""나?\u3000심심하진 않아.<br><%me> 외에도<br>여러 사람이 말을 걸어 주니까."""
11_voice_NPC_5004_100#3,"""몸이 나으면 뭘 할까……<br>아…… 그냥 목표로 삼아 보는 거야.<br>그렇게 생각하면 의욕도 생기잖아."""
11_voice_NPC_5004_104#1,"""으음…… 아크스 사람들은<br>다들 멋쟁이지?<br>그런 옷, 부럽다……"""
11_voice_NPC_5004_100#4,"""하아…… 왜일까.<br>기억은 별로 남아 있지 않은데<br>지금은 굉장히 홀가분해."""
Matoi_13_020#0,"""예전의 난 못 하는 일이 많아서<br>답답해하고 있었던 걸까?<br>후훗, 그렇다면 지금은 행복한가 봐."""
11_voice_NPC_5004_104#2,"""저 커다란 모니터의 정보는<br>어떻게 모으는 걸까?<br>원리도 그렇고, 신기해."""
11_voice_NPC_5004_105#3,"""아크스 쉽은 200년도 더 전부터<br>우주를 다닌 거지?<br>왜 우주로 나가려 했을까?"""
Matoi_15_020#0,"""……으음, 모험하고 싶어서였을까.<br>찾아봐도 그 이전 역사는<br>발견하지 못했어."""
11_voice_NPC_5004_105#4,"""포톤은 주변 대기 중에<br>존재하는 거지?"""
Matoi_16_020#0,"""늘 곁에 있는 건데, 왜<br>포톤을 다루는 사람과 못 다루는 사람으로<br>나뉘는 걸까. 신기해."""
11_voice_NPC_5004_100#5,"""책이나 자료를 읽는 건 재미있어.<br>난 심하게 움직일 수 없으니까<br>그런 걸 닥치는 대로 읽고 있어."""
Matoi_17_020#0,"""자료 하나만 보는 게 아니라<br>여러 자료를 대조하면 보이는 것도 있고,<br>응, 정말 자극적이야."""
11_voice_NPC_5004_100#6,"""아, 어서 와.<br>아니면 좋은 아침이라고 해야 하나?"""
Matoi_18_020#0,"""아하하…… 아크스 사람들은<br>생활 시간이 불규칙해서 인사가 어렵네.<br>그래도, 응. 좋은 아침."""
11_voice_NPC_5004_104#3,"""괜찮아?\u3000무리하고 있진 않아?<br>숨겨도 알아. 표정이 무서운걸.<br>절대로 무리하지 마, 알았지?"""
11_voice_NPC_5004_104#4,"""아…… <%me>.<br>그게…… 저기, 조심해서 다녀와.<br>이유는 모르겠지만 불길한 예감이 들어."""
11_voice_NPC_5004_105#5,"""왠지 슬픈 느낌이 들어……<br>대기 중의 포톤이 그렇게 느껴져.<br>왜일까, 대체 왜……?"""
11_voice_NPC_5004_100#7,"""뭘까, 공기가 들떠 있는 것 같아.<br>모두의 마음 때문일까?<br>후훗, 조금 재미있을지도."""
11_voice_NPC_5004_104#5,"""있잖아, <%me>.<br>저기…… 괜찮아?<br>자꾸 큰일만 생겨서 걱정돼."""
Matoi_mb9_020#0,"""기분 탓이면 다행이야.<br>하지만 너무 혼자 끌어안진 마."""
Matoi_mb9_030#0,"""힘들 때는 힘들다고 말해야 해.<br>그러지 않으면 아무도 알아채지 못하고<br>혼자가 되어 버리니까……"""
11_voice_NPC_5004_104#6,"""아…… <%me>.<br>찾고 있던 용은 발견했어?"""
Matoi_mb10_020#0,"""폭주하고 있다던데<br>왜 폭주하게 된 걸까.<br>……무슨 일이 있었던 걸까."""
Matoi_mb10_030#0,"""……정말 불길한 느낌이 들어.<br>꼭 조심해. 정말이야."""
11_voice_NPC_5004_100#8,"""전에 말했던 전투 기술 대회,<br>그 모습을 중계해 준대."""
Matoi_mb11_020#0,"""그러니까, 뭐랄까……<br><%me>, 네가 싸우는 모습도<br>보고 싶다고 할까……"""
Matoi_mb11_030#0,"""그냥 궁금하기도 하지만……<br>뭔가를 보면 기억이 떠오르지 않을까,<br>그런 생각도 들어서."""
11_voice_NPC_5004_104#7,"""있잖아, <%me>.<br>표정이 굳었어. 괜찮아?<br>무슨 일 있었어?"""
Matoi_mb12_020#0,"""아무 일도 없다면 다행이지만……<br>너무 혼자서 쌓아 두진 마."""
11_voice_NPC_5004_106#0,"""있잖아, <%me>……<br>난 괜찮아.<br>나도 놀랄 만큼 차분해."""
Matoi_mb13_020#0,"""시온 씨도 믿고 있어.<br>그 사람은 널 보며<br>웃어 줬으니까."""
Matoi_mb13_030#0,"""……그렇게 안 보였어?<br>아니, 그렇지 않아.<br>분명 웃고 있었어."""
