Npc46_01_010#0,"""I hear you need to be born with talent to become an ARKS operative.<br>...It's a shame."""
Npc46_02_010#0,"""I hear you need to be born with talent to become an ARKS operative.<br>...It's a shame."""
Npc46_03_010#0,"""I hear you need to be born with talent to become an ARKS operative.<br>...It's a shame."""
Npc46_04_010#0,"""I hear you need to be born with talent to become an ARKS operative.<br>...It's a shame."""
Npc46_05_010#0,"""Aren't there ways to develop the ability to manipulate Photons?"""
Npc46_06_010#0,"""Aren't there ways to develop the ability to manipulate Photons?"""
Npc46_07_010#0,"""I wonder how Photons were first discovered. I'd love to hear the story behind how that happened."""
Npc46_08_010#0,"""I wonder how Photons were first discovered. I'd love to hear the story behind how that happened."""
Npc46_mb9_010#0,"""I wonder how Photons were first discovered. I'd love to hear the story behind how that happened."""
Npc46_mb10_010#0,"""I wonder how Photons were first discovered. I'd love to hear the story behind how that happened."""
Npc46_mb11_010#0,"""I wonder how Photons were first discovered. I'd love to hear the story behind how that happened."""
Npc46_mb12_010#0,"""Lately, I find myself wishing I had the ability to manipulate Photons. I feel quite pitiful not being able to do anything..."""
Npc46_mb13_010#0,"""Lately, I find myself wishing I had the ability to manipulate Photons. I feel quite pitiful not being able to do anything..."""
Npc46_mb14_010#0,"""Lately, I find myself wishing I had the ability to manipulate Photons. I feel quite pitiful not being able to do anything..."""
Npc46_mb16zeno_010#0,"""A lot of information that used to be hidden is being published.<br>...About both ARKS and Photons."""
