text100#0,"""Acerca de: 『Ordenes diarias』"""
text101#0,"""「デイリーオーダー」とは<br>毎日変わるクライアントオーダーです。<br><br>エネミー討伐やアイテム収集などでは<br>完了せずとも、好きな数量を報告して<br>そこまでの報酬を得られるものもあります。"""
Npc49_01_010#0,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_01_020#0,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_01_030#0,"""でも、もう少し経験を積んでから<br>来てもらえますか！"""
ep6_sq00_01#0,"""デイリーオーダーは名前の通り<br>毎日内容を変えてご用意してますよ！<br>ぜひぜひご活用くださいね！"""
ep6_sq00_02#0,"""毎日会いに来てくれると<br>わたしもうれしいです！<br>今日も、頑張ってくださいね！"""
tutorial01_01#0,"""お疲れさまです！<br>わたしは管理官のファイナです。<br>デイリーオーダーを担当しています！"""
tutorial01_02#0,"""今回は、デイリーオーダーや<br>クライアントオーダーを効率よく<br>達成するコツをお教えしますね。"""
tutorial01_03#0,"""それはですね、ズバリ！<br>同じクエストで達成できるオーダーを<br>まとめて受注しておくことです！"""
tutorial01_04#0,"""たとえば、「任意のエネミーを撃破」と<br>「ダガンを撃破」のオーダーを受注して<br>ダガンを倒せば、２つ同時に達成です！"""
tutorial01_05#0,"""同じフィールドが対象のオーダーは<br>まとめて達成できるチャンスですよ。<br>ぜひ試してみてくださいね！"""
tutorial01_tittel#0,"""『クライアントオーダーの上手な受け方』について"""
tutorial01_tut01#0,"""クライアントオーダーは<br>様々なキャラクターから受注できます。<br><br>クエストに出発する前に、今から行く<br>フィールドで達成できそうなオーダーを<br>まとめて受けておくと１回のプレイで<br>たくさんのオーダーをクリアでき<br><yellow>効率よく報酬が獲得<c>できるようになります。"""
tutorial01_tut02#0,"""クライアントオーダーには<br>特定のエネミーの撃破を対象とした<yellow>「討伐」<c>や<br>特定のエネミーを倒したらドロップする<br>アイテムを集める<yellow>「収集」<c>といったものもあり<br><yellow>同じエネミーがターゲットのオーダーを<br>まとめて受けておく<c>のも報酬を獲得する<br>方法の一つです。<br><br>クエストに行く前には<br>様々なキャラクターのオーダーを<br>確認しておきましょう。"""
