Title#0,"""Особая тренировка: Эпизоды 1~4"""
Explanation#0,"""Это учебный квест для VR тренировок.<br>Главная цель - дойти до конечной<br>местности за отведённое время.<br>Вы пройдёте через различные события,<br>повстречавшихся ARKS.<br>Тщательно проработайте план<br>в соответствии со своими возможностями.<br>――――――――――――――――――――<br>Лимит времени: 15мин.<br>Максимальный урон: 999999"""
SimpleExplanation#0,"""Победите всех врагов!"""
NpcComMsg1#0,"""Вы готовы? Скоро начнётся<br>особая тренировка!"""
NpcComMsg2#0,"""Этот квест является кульминацией<br>всех предыдущих обучающих<br>квестов, с которыми вы<br>связывались, поэтому<br>не ослабляйте бдительность!"""
NpcComMsg3#0,"""Начинаем телепортацию.<br>Пожалуйста, сделайте все<br>возможное!"""
Area0S#0,"""Местность Вулканических пещер 1"""
Area0L#0,"""Планета Амдуския - местность Пещер 1"""
Area1S#0,"""Местность Горнодобывающей базы 2"""
Area1L#0,"""Планета Лиллипа - местность базы 2"""
Area2S#0,"""Запечатанная местность 3"""
Area2L#0,"""Планета Харкотан - Запечатанная местность 3"""
Area3S#0,"""Местность Лунной поверхности 4"""
Area3L#0,"""Орбита Земли - Луна - Лунная поверхность 4"""
Area4S#0,"""Местность Древа жизни 5"""
Area4L#0,"""Планета Земля - местность Древа жизни 5"""
Area5S#0,"""？？？？"""
Area5L#0,"""？？？？"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
