Title#0,"""Дикая пасха 2020"""
Explanation#0,"""地球のラスベガスで準備中の<br>イースターイベントの会場周辺に<br>お邪魔な幻創種とエスカダーカーが<br>たくさん現れちゃったらしいの！<br>このまま暴れ続けられていたら<br>イベントが中止になっちゃうよ……！<br>お願いっ！\u3000イベントを無事開催するため<br>会場の安全を守ってくれないかな？<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
NpcComMsg1#0,"""Начинаю перенос.<br>Ваша цель заключается в отражении<br>атак фантомов, которые появились<br>в округе."""
NpcComMsg2#0,"""Здесь много строений, и ожидается<br>бой на плохой местности.<br>К тому же, мы фиксируем мощный<br>сигнал в конечной зоне."""
NpcComMsg3#0,"""Это место кажется<br>запутанным, поэтому,<br>дейстуйте с осторожностью.<br>Удачи всем вам!"""
SimpleExplanation#0,"""Дойдите до конца!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
