ProgressCount#0,"""$(0)/$(1)"""
TrialSuccessMsg#0,"""Выполнено испытание<br>\""$(0)\""!"""
TrialFailureMsg#0,"""Провалено испытание<br>\""$(0)\""!"""
TrialCancelMsg#0,"""Покинуто испытание<br>\""$(0)\""!"""
RewardTextClear#0,"""Завершно испытание<br>\""$(0)\""!"""
RewardTextRew#0,"""Награда"""
RewardTextMeseta#0,"""<pict reb_meseta>$(0)"""
RewardTextItemNameNum#0,"""$(0)×$(1)"""
RewardTextItemName#0,"""$(0)"""
ProgDefenceWave#0,"""Волна．"""
FLineMsg_TimeOver#0,"""Испытание провалено.<br>Время вышло!"""
FLineMsg_DefenceTarget_Dead#0,"""Испытание провалено.<br>Не удалось защитить $(0)!"""
