TrialName#0,"""Защита: $(0)"""
TrialBeginMsg#0,"""Защитите от врагов: $(0)!"""
TrialAbstract#0,"""Защита: $(0)"""
Wave1Msg#0,"""Приближается 1-я волна врагов!　Защитите: $(0)!! """
Wave2Msg#0,"""Приближается 2-я волна врагов!　Защитите: $(0)!! """
Wave3Msg#0,"""Приближается 3-я волна врагов!　Защитите: $(0)!! """
Wave4Msg#0,"""Приближается 4-я волна врагов!　Защитите: $(0)!! """
Wave5Msg#0,"""Фиксирую множество вражеских сигналов!<br>Защитите: $(0)!! """
NpcComOnBegin#0,"""/voice11_voice_navi001_trial_0001_004 Зафиксирован сигнал помощи от ARKS во время миссии!<br>Пожалуйста отправьтесь на место и защитите цель!"""
NpcComOnHp50#0,"""Защищаемая цель получила урон!<br>Разберитесь с приближающимися врагами!"""
NpcComOnHp20#0,"""Защищаемая цель получила много урона!<br>Она вот-вот будет уничтожена! Пожалуйста, защитите её!"""
NpcComOnSuccess#0,"""/voice11_voice_navi001_trial_0001_009 Исчез сигнал окружающих врагов!<br>Теперь всё в порядке. Благодарю вас за сотрудничество!"""
NpcComOnFailure#0,"""/voice11_voice_navi001_trial_0001_010 Не удалось защитить цель...<br>Все ARKS, принявшие участие в защите, можете расходиться."""
