11_voice_NPC_5160_111#0,"""Что желаете узнать?"""
text01#0,"""Что такое \""Рэппи-слот\""?"""
text02#0,"""Как играть в \""Рэппи-слот\"" (Основное)"""
text03#0,"""Как играть в \""Рэппи-слот\"" (Продвинутое)"""
text04#0,"""Уйти"""
text00#0,"""Что такое \""Рэппи-слот\"""""""
text01#1,"""Рэппи-слот - игра в казино предназначенная<br>только для одного игрока.<br><c 00ffff>Вы можете зарабатывать монеты, выстраивая<br>комбинации символов на барабанах.<c><br><br>Играя в слоты, вы можете выбрать ставку.<br>Количество монет, которые вы можете выиграть,<br>увеличивается в зависимости от того, насколько<br>велика ваша ставка."""
text00#1,"""Как играть в \""Рэппи-слот\"" (Основное)"""
text01#2,"""Каждый раз, когда вы делаете ставки, <c 00ffff>становятся<br>активными 8 линий<c><br>.<br>(3 горизонтальных, 3 вертикальных и<br>2 диагональных)<br><br>При выпадении трёх одинаковых символов по этим<br>линиям гарантирует вам выигрыш.<br>Если у вас есть несколько линий с совпадающими<br>символами, то выигрыш будет суммироваться."""
text02#1,"""Помимо тех, которые просто награждают монетами,<br>есть и некотореы особые символы.<br><br><yellow>- Rappy Emblem (Эмблема рэппи)<c><br>Увеличивает рэппи-метр на 1.<br>\u3000※Если индикатор достигет 5,<br>\u3000то вы сможет вызвать \""<c 00ffff>Rappy PSE Chance<c>\"".<br><br><yellow>- WILD<c><br>Может взять на себя роль любого другого символа.<br>\u3000※Если вы выстроите в ряд 3 WILD'а, то<br>\u3000сможете вызвать \""<c 00ffff>Rappy PSE Burst<c>\""."""
text03#1,"""Показатель рэппи-метра увеличится, когда вы<br>выстроите в ряд три эмблемы рэппи.<br>С каждой выстраиваемой линией вы будете<br>увеличивать счётчик на 1.<br>Когда счётчик достигнет 5, вы получите<br>\""<c 00ffff>Rappy PSE Chance<c>\"".<br><br>При попытке \""<c 00ffff>Rappy PSE Chance<c>\"", все<br>барабаны, кроме одного, будут закрыты.<br>Здесь ваша цель - остановить один единственный<br>барабан на WILD символе.<br>Если попадёте, то гарантированно вызовите<br>\""<c 00ffff>Rappy PSE Chance<c>\"".<br>Если же промахнётесь, то рэппи-метр снизится<br>на 1. С хорошей реакцией и расчётом момента, вы<br>сможете каждый раз попадать в WILD."""
text04#1,"""\""<c 00ffff>Rappy PSE Chance<c>\"" - азартная игра, во время<br>которого в центральном барабане всегда находится<br>WILD символ. Также увеличивается вероятность<br>появления и других WILD'ов.<br><br>Вы получите 5 бесплатных попыток, и когда<br>количество попыток опустится до 0, игра<br>вернётся в обычный режим.<br><br><red>※Во время \""Rappy PSE Chance\"" ваша ставка<br>зафиксируется на том уровне, какой она была<br>на момент активации.<c>"""
text05#0,"""\""<c 00ffff>Rappy PSE Burst<c>\"" - бонусная игра, в которой<br>WILD появляются чаще, а все получаемые символы<br>WILD зафиксируются на время бонусной игры.<br><br>Поскольку \""<c 00ffff>Rappy PSE Burst<c>\"" работает<br>независимо от вашего рэппи-метра, это отличный<br>шанс сохранить целую полосу, выбив нексколько<br>линий.<br><br>Если вам удастся получить WILD'ы на всех<br>9 барабанах, то вы выиграете \""<c 00ffff>Джекпот<c>\"", и вы<br>получите огромное количество монет."""
text00#2,"""Как играть в \""Рэппи-слот\"" (Продвинутое)"""
text01#3,"""При доступе к рэппи-слоту, вы сможете заполнить<br>рэппи-метр, а также столько Rappy PSE Burst'ов,<br>сколько было сыграно до этого на этой машине.<br><br>Используйте эту информацию, чтобы узнать,<br>попался ли вам счастливый автомат, и увеличьте<br>свои шансы!"""
text00#3,"""Хм? Вы спрашиваете про маленькую<br>чёрную кошечку, которая раньше<br>приходила в казино?"""
text01#4,"""Выглядело довольно <br>взволнованным, но, думаю, было<br>слишком шумно..."""
text02#2,"""Очевидно, они забрали его<br>обратно в магазин, но я<br>не знаю подробностей~..."""
text03#2,"""...Во всяком случае, он<br>действительно был в районе<br>казино."""
text04#2,"""Пожалуйста, проверьте<br>рэппи-слоты, если<br>заинтересованны в игре!~"""
